qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.FASH.0001	серьги хлопок недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0002	часы женские б/у	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0003	шапка бежевый купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0004	галстук синий	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0005	перчатки шерсть в моём городе	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0006	шапка зелёный	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0007	часы женские рядом	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0008	ремень хлопок недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0009	браслет замша купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0010	шапка бежевый недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0011	часы женские купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0012	браслет хлопок недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0013	зонт синий	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0014	солнцезащитные очки красный с доставкой	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0015	галстук красный б/у	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0016	серьги кожа недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0017	шарф шерсть зелёный купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0018	браслет шерсть б/у	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0019	серьги кожа купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0020	перчатки хлопок недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0021	солнцезащитные очки синий купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0022	зонт бежевый б/у	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0023	кольцо шерсть купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0024	шапка черный	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0025	ремень текстиль	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0026	перчатки текстиль с доставкой	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0027	серьги шерсть б/у	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0028	браслет лен недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0029	браслет хлопок купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0030	зонт серый недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0031	часы мужские купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0032	часы женские в моём городе	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0033	браслет текстиль недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0034	перчатки лен недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0036	браслет лен	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0037	галстук бежевый недорого	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0038	шапка красный купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0039	шарф лен бежевый в моём городе	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0040	часы женские	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0041	ремень замша купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0042	перчатки хлопок в моём городе	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	product	
Q.FASH.0043	аксессуары купить	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	browse	category browse
Q.FASH.0044	аксессуары рядом	ru-RU	canonical	FASH.ACCESSORIES	FASH	FASH.ACCESSORIES	browse	category browse
Q.FASH.0045	клатч зелёный недорого	ru-RU	canonical	FASH.BAGS	FASH	FASH.BAGS	product	
Q.FASH.0046	чемодан 54 в моём городе	ru-RU	canonical	FASH.BAGS	FASH	FASH.BAGS	product	
Q.FASH.0047	сумка женская зелёный в моём городе	ru-RU	canonical	FASH.BAGS	FASH	FASH.BAGS	product	
Q.FASH.0048	рюкзак городской Puma рядом	ru-RU	canonical	FASH.BAGS	FASH	FASH.BAGS	product	
Q.FASH.0049	рюкзак городской H&M рядом	ru-RU	canonical	FASH.BAGS	FASH	FASH.BAGS	product	
Q.FASH.0050	рюкзак городской Reebok самовывоз	ru-RU	canonical	FASH.BAGS	FASH	FASH.BAGS	product	
Q.FASH.0051	рюкзак городской Adidas недорого	ru-RU	canonical	FASH.BAGS	FASH	FASH.BAGS	product	
