model_id	gaming_type	brand	family	model	platform	release_year	priority	aliases	note
META_QUEST_2_128	VR_HEADSET	META	QUEST	Meta Quest 2 128GB	META_QUEST	2021	HEAD_DELTA	quest 2; oculus quest 2; meta quest 2	thin_type_delta
PICO_4_128	VR_HEADSET	PICO	PICO	Pico 4 128GB	PC	2022	HEAD_DELTA	pico 4; pico vr 4	thin_type_delta
HTC_VIVE_PRO_2	VR_HEADSET	HTC	VIVE	HTC Vive Pro 2	PC	2021	HEAD_DELTA	vive pro 2; htc vive pro 2	thin_type_delta
LOGITECH_G502_X_PLUS	GAMING_MOUSE	LOGITECH_G	G502	Logitech G502 X Plus	PC	2022	HEAD_DELTA	g502 x plus; logitech g502 x	thin_type_delta
CORSAIR_M65_RGB_ULTRA	GAMING_MOUSE	CORSAIR	M65	Corsair M65 RGB Ultra	PC	2021	HEAD_DELTA	m65 rgb ultra; corsair m65	thin_type_delta
HYPERX_PULSEFIRE_HASTE_2	GAMING_MOUSE	HYPERX	PULSEFIRE	HyperX Pulsefire Haste 2	PC	2023	HEAD_DELTA	pulsefire haste 2; hyperx haste 2	thin_type_delta
LOGITECH_G_PRO_X_2_HEADSET	GAMING_HEADSET	LOGITECH_G	PRO_X	Logitech G Pro X 2 Lightspeed Headset	MULTIPLATFORM	2023	HEAD_DELTA	g pro x 2 headset; logitech pro x 2	thin_type_delta
ASTRO_A50_X	GAMING_HEADSET	ASTRO	A50	Astro A50 X	MULTIPLATFORM	2023	HEAD_DELTA	astro a50 x; a50x	thin_type_delta
TURTLE_BEACH_STEALTH_700_GEN3	GAMING_HEADSET	TURTLE_BEACH	STEALTH	Turtle Beach Stealth 700 Gen 3	MULTIPLATFORM	2024	HEAD_DELTA	stealth 700 gen 3; turtle beach 700	thin_type_delta
PANDORA_BOX_12	ARCADE_EQUIPMENT	PANDORA_BOX	PANDORA	Pandora Box 12	RETRO		HEAD_DELTA	pandora box 12; pandora arcade	thin_type_delta
ARCADE1UP_STREET_FIGHTER_CABINET	ARCADE_EQUIPMENT	ARCADE1UP	ARCADE_CABINET	Arcade1Up Street Fighter Cabinet	RETRO		HEAD_DELTA	arcade1up street fighter; arcade cabinet street fighter	thin_type_delta
GENERIC_BARTOP_ARCADE_CABINET	ARCADE_EQUIPMENT	GENERIC	BARTOP_ARCADE	Bartop Arcade Cabinet	RETRO		CANDIDATE_PATTERN	bartop arcade; настольный аркадный автомат	thin_type_delta
PS5_MEDIA_REMOTE	CONSOLE_ACCESSORY	SONY	PLAYSTATION	PS5 Media Remote	PLAYSTATION	2020	HEAD_DELTA	ps5 remote; media remote ps5	thin_type_delta
QUEST_LINK_CABLE	CONSOLE_ACCESSORY	META	QUEST	Meta Quest Link Cable	META_QUEST		HEAD_DELTA	quest link cable; кабель quest link	thin_type_delta
BACKBONE_ONE_USB_C	GAME_CONTROLLER	BACKBONE	BACKBONE_ONE	Backbone One USB-C	MOBILE	2023	HEAD_DELTA	backbone one usb c; backbone controller	thin_type_delta
GAMESIR_G8_GALILEO	GAME_CONTROLLER	GAMESIR	G8	GameSir G8 Galileo	MOBILE	2023	HEAD_DELTA	gamesir g8; g8 galileo	thin_type_delta
