query_id	query	locale	expected_route_target	shared_standard_applies	expected_common_extraction	negative_route	notes
GQ001	iphone 13 новый с коробкой	ru	TECH.PHONES	true	brand=APPLE;condition=NEW;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	defer_identity
GQ002	чехол iphone 13 прозрачный	ru	TECH.PHONE_ACCESSORIES	true	color_family=TRANSPARENT	TECH.ELECTRONICS_COMMON	defer_compatibility
GQ003	ноутбук lenovo бу хорошее состояние с зарядкой	ru	TECH.COMPUTERS	true	brand=LENOVO;condition=USED_GOOD;included_accessories=CHARGER	TECH.ELECTRONICS_COMMON	
GQ004	монитор samsung 27 серебристый без коробки	ru	TECH.MONITORS_DISPLAYS	true	brand=SAMSUNG;color_family=SILVER;original_box=NO	TECH.ELECTRONICS_COMMON	
GQ005	наушники sony новые гарантия магазина	ru	TECH.AUDIO	true	brand=SONY;condition=NEW;warranty_status=SELLER_WARRANTY	TECH.ELECTRONICS_COMMON	
GQ006	камера canon с объективом и коробкой	ru	TECH.CAMERAS_DRONES	true	brand=CANON;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	
GQ007	роутер tp link новый запечатан	ru	TECH.NETWORKING	true	brand=TP_LINK;condition=NEW	TECH.ELECTRONICS_COMMON	
GQ008	зарядка usb c apple новая	ru	TECH.POWER_CHARGING_CABLES	true	brand=APPLE;condition=NEW	TECH.ELECTRONICS_COMMON	
GQ009	принтер hp бу без гарантии	ru	TECH.PRINTERS_SCANNERS	true	brand=HP;condition=USED_GOOD;warranty_status=NO_WARRANTY	TECH.ELECTRONICS_COMMON	
GQ010	apple watch ремешок черный	ru	TECH.WEARABLES	true	brand=APPLE;color_family=BLACK	TECH.ELECTRONICS_COMMON	fash_conflict
GQ011	детский рюкзак с usb	ru	FASH.BAGS	false	blocked_route_family=TECH	TECH.ELECTRONICS_COMMON	cross_domain_negative
GQ012	кожаный ремень apple watch нет	ru	FASH.ACCESSORIES	false	blocked_without_smartwatch_context	TECH.ELECTRONICS_COMMON	negative_context
GQ013	телефон apple новый черный с коробкой	ru	TECH.PHONES	true	brand=APPLE;condition=NEW;color_family=BLACK;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ014	телефон samsung бу как новый белый с коробкой	ru	TECH.PHONES	true	brand=SAMSUNG;condition=USED_LIKE_NEW;color_family=WHITE;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ015	телефон xiaomi бу хорошее состояние серебристый с коробкой	ru	TECH.PHONES	true	brand=XIAOMI;condition=USED_GOOD;color_family=SILVER;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ016	телефон sony на запчасти синий с коробкой	ru	TECH.PHONES	true	brand=SONY;condition=USED_FOR_PARTS;color_family=BLUE;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ017	телефон lg витринный золотой с коробкой	ru	TECH.PHONES	true	brand=LG;condition=OPEN_BOX;color_family=GOLD;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ018	чехол samsung бу как новый белый с коробкой	ru	TECH.PHONE_ACCESSORIES	true	brand=SAMSUNG;condition=USED_LIKE_NEW;color_family=WHITE;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ019	чехол xiaomi бу хорошее состояние серебристый с коробкой	ru	TECH.PHONE_ACCESSORIES	true	brand=XIAOMI;condition=USED_GOOD;color_family=SILVER;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ020	чехол sony на запчасти синий с коробкой	ru	TECH.PHONE_ACCESSORIES	true	brand=SONY;condition=USED_FOR_PARTS;color_family=BLUE;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ021	чехол lg витринный золотой с коробкой	ru	TECH.PHONE_ACCESSORIES	true	brand=LG;condition=OPEN_BOX;color_family=GOLD;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ022	чехол hp восстановленный серый с коробкой	ru	TECH.PHONE_ACCESSORIES	true	brand=HP;condition=REFURBISHED_SELLER;color_family=GRAY;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ023	ноутбук xiaomi бу хорошее состояние серебристый с коробкой	ru	TECH.COMPUTERS	true	brand=XIAOMI;condition=USED_GOOD;color_family=SILVER;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ024	ноутбук sony на запчасти синий с коробкой	ru	TECH.COMPUTERS	true	brand=SONY;condition=USED_FOR_PARTS;color_family=BLUE;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ025	ноутбук lg витринный золотой с коробкой	ru	TECH.COMPUTERS	true	brand=LG;condition=OPEN_BOX;color_family=GOLD;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ026	ноутбук hp восстановленный серый с коробкой	ru	TECH.COMPUTERS	true	brand=HP;condition=REFURBISHED_SELLER;color_family=GRAY;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ027	ноутбук dell новый черный с коробкой	ru	TECH.COMPUTERS	true	brand=DELL;condition=NEW;color_family=BLACK;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ028	планшет sony на запчасти синий с коробкой	ru	TECH.TABLETS_E_READERS	true	brand=SONY;condition=USED_FOR_PARTS;color_family=BLUE;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ029	планшет lg витринный золотой с коробкой	ru	TECH.TABLETS_E_READERS	true	brand=LG;condition=OPEN_BOX;color_family=GOLD;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ030	планшет hp восстановленный серый с коробкой	ru	TECH.TABLETS_E_READERS	true	brand=HP;condition=REFURBISHED_SELLER;color_family=GRAY;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ031	планшет dell новый черный с коробкой	ru	TECH.TABLETS_E_READERS	true	brand=DELL;condition=NEW;color_family=BLACK;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ032	планшет asus бу как новый белый с коробкой	ru	TECH.TABLETS_E_READERS	true	brand=ASUS;condition=USED_LIKE_NEW;color_family=WHITE;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ033	монитор lg витринный золотой с коробкой	ru	TECH.MONITORS_DISPLAYS	true	brand=LG;condition=OPEN_BOX;color_family=GOLD;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ034	монитор hp восстановленный серый с коробкой	ru	TECH.MONITORS_DISPLAYS	true	brand=HP;condition=REFURBISHED_SELLER;color_family=GRAY;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ035	монитор dell новый черный с коробкой	ru	TECH.MONITORS_DISPLAYS	true	brand=DELL;condition=NEW;color_family=BLACK;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ036	монитор asus бу как новый белый с коробкой	ru	TECH.MONITORS_DISPLAYS	true	brand=ASUS;condition=USED_LIKE_NEW;color_family=WHITE;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
GQ037	монитор canon бу хорошее состояние серебристый с коробкой	ru	TECH.MONITORS_DISPLAYS	true	brand=CANON;condition=USED_GOOD;color_family=SILVER;original_box=YES_ORIGINAL	TECH.ELECTRONICS_COMMON	generated_common_coverage
