attribute_code	label_ru	data_type	role	required_policy	value_source	usage_scope	inherited_from	notes_ru
categoryCode	Код категории	enum	T0_CORE	required	TECH.PHONE_ACCESSORIES	all		Стабильный public categoryCode.
phone_accessory_type	Тип аксессуара телефона	enum	T0_CORE	required	values#phone_accessory_type	all		Главный type-переключатель ветки.
brand	Бренд аксессуара	string|enum	T0_CORE	required	TECH.ELECTRONICS_COMMON#brand	all	TECH.ELECTRONICS_COMMON	Бренд аксессуара, не обязательно бренд телефона.
condition	Состояние	enum	T0_CORE	required	TECH.ELECTRONICS_COMMON#condition	all	TECH.ELECTRONICS_COMMON	Новое/б.у./восстановленное/на запчасти.
color_family	Цвет	enum	T0_CORE	required	TECH.ELECTRONICS_COMMON#color_family	all	TECH.ELECTRONICS_COMMON	Нормализованный цвет.
compatible_device_category	Совместимая категория устройства	enum	T0_CORE	required_when_model_specific_or_universal	values#compatible_device_category	all	TECH.COMPATIBILITY_COMMON	PHONE по умолчанию для этой ветки; может быть PHONE_OR_TABLET только при явном тексте.
compatible_brand	Совместимый бренд устройства	enum|string	T0_CORE	required_when_model_specific	values#compatible_brand_head	model_specific	TECH.COMPATIBILITY_COMMON	Например Apple/Samsung/Xiaomi; не путать с brand аксессуара.
compatibility_evidence_level	Уровень доказательства совместимости	enum	T0_CORE	required	values#compatibility_evidence_level	all	TECH.COMPATIBILITY_COMMON	Нужен, чтобы не угадывать совместимость по фото.
compatible_family	Совместимое семейство	string|enum	T1_TYPE_SPECIFIC	required_when_family_specific	runtime_candidates/live_values	model_specific	TECH.COMPATIBILITY_COMMON	iPhone, Galaxy S, Redmi Note и т.д.
compatible_model_text	Текст совместимой модели	string	T1_TYPE_SPECIFIC	required_when_model_specific	extracted_text	model_specific	TECH.COMPATIBILITY_COMMON	Свободный текст модели до resolution в phone identity.
compatible_model_ref	Ссылка на нормализованную модель	reference	T3_SYSTEM_HIDDEN	optional	TECH.PHONES model identity	model_specific	TECH.COMPATIBILITY_COMMON	Не выводить в UI, рассчитывается runtime.
compatibility_mode	Режим совместимости	enum	T1_TYPE_SPECIFIC	required	values#compatibility_mode	all	TECH.COMPATIBILITY_COMMON	MODEL_SPECIFIC / FAMILY_SPECIFIC / UNIVERSAL_PHONE / CONNECTOR_BASED.
compatibility_confidence	Доверие совместимости	number	T3_SYSTEM_HIDDEN	computed	0..1	all	TECH.COMPATIBILITY_COMMON	Системная оценка.
compatibility_resolution_status	Статус resolution	enum	T3_SYSTEM_HIDDEN	computed	values#compatibility_resolution_status	all	TECH.COMPATIBILITY_COMMON	RESOLVED / TEXT_ONLY / AMBIGUOUS / NOT_REQUIRED.
case_style	Тип чехла	enum	T1_TYPE_SPECIFIC	type_required_or_optional_by_policy	values#case_style	CASE		Накладка, книжка, bumper, wallet и т.д.
case_material	Материал чехла	enum	T1_TYPE_SPECIFIC	type_required_or_optional_by_policy	values#case_material	CASE		TPU/силикон/кожа/поликарбонат и т.д.
