qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.SPORT.0001	велосипед горный Forward рядом	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0002	велосипед городской Kugoo	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0003	покрышка велосипедная б/у	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0004	велозамок	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0005	велозамок недорого	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0006	электровелосипед Ninebot	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0007	велозамок	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0008	электровелосипед Trek с доставкой	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0009	велосипед городской Giant купить	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0010	шлем велосипедный в наличии	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0011	электровелосипед Merida	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0012	камера велосипедная	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0013	камера велосипедная	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0014	электросамокат Kugoo в наличии	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0015	велосипед горный Kugoo	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0016	шлем велосипедный	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0017	камера велосипедная в наличии	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
Q.SPORT.0018	насос для велосипеда	ru-RU	canonical	SPORT.BIKES_SCOOTERS	SPORT	SPORT.BIKES_SCOOTERS	product	
