qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.KIDS.0001	подгузники трусики 9-36 б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0002	бутылочка Lego б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0003	стерилизатор бутылочек б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0004	молокоотсос доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0005	подогреватель бутылочек недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0006	стерилизатор бутылочек	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0007	бутылочка Hot Wheels доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0008	влажные салфетки	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0009	пеленки одноразовые доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0010	шампунь детский доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0011	пустышка Avent купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0012	прорезыватель купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0013	масло детское	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0014	шампунь детский б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0015	масло детское недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0016	ванночка детская	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0017	пустышка Pampers доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0018	прорезыватель недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0019	пеленальный матрасик доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0020	прорезыватель доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0021	шампунь детский	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0022	влажные салфетки доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0023	пеленки одноразовые доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0024	слинг купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0025	ванночка детская	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0026	пеленальный матрасик недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0027	шампунь детский б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0028	масло детское купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0029	подгузники 6	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0030	переноска кенгуру недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0031	бутылочка Britax Römer	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0032	подгузники 4	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0033	бутылочка Hot Wheels б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0034	пеленальный матрасик б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0035	стерилизатор бутылочек б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0036	ванночка детская купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0037	пеленальный матрасик	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0038	слинг недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0039	шампунь детский недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0040	аспиратор недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0041	пеленки одноразовые доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0042	подгузники трусики 5 недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0043	ванночка детская б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0044	аспиратор недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0045	молокоотсос доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0046	подгузники трусики 2 доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0047	переноска кенгуру	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0048	ванночка детская б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0049	подогреватель бутылочек недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0050	бутылочка Cybex недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0051	пеленки одноразовые купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0052	влажные салфетки б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0053	прорезыватель недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0054	пеленки одноразовые купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0055	аспиратор б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0056	шампунь детский б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0057	шампунь детский б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0058	влажные салфетки доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0059	слинг недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0060	шампунь детский	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0061	пустышка Cybex	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0062	прорезыватель б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0063	пустышка Hot Wheels купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0064	масло детское доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0065	шампунь детский б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0066	подгузники 3 недорого	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0067	пустышка Dr. Brown's б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0068	прорезыватель доставка	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0069	подгузники 2 купить	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0070	ванночка детская б/у	ru-RU	canonical	KIDS.BABY_GEAR	KIDS	KIDS.BABY_GEAR	product	
Q.KIDS.0071	сумка для коляски купить	ru-RU	canonical	KIDS.STROLLERS_CARSEATS	KIDS	KIDS.STROLLERS_CARSEATS	product	
Q.KIDS.0072	коляска для новорожденного б/у	ru-RU	canonical	KIDS.STROLLERS_CARSEATS	KIDS	KIDS.STROLLERS_CARSEATS	product	
Q.KIDS.0073	коляска для новорожденного	ru-RU	canonical	KIDS.STROLLERS_CARSEATS	KIDS	KIDS.STROLLERS_CARSEATS	product	
Q.KIDS.0074	коляска 2в1 Hot Wheels	ru-RU	canonical	KIDS.STROLLERS_CARSEATS	KIDS	KIDS.STROLLERS_CARSEATS	product	
Q.KIDS.0075	коляска 2в1 Duplo доставка	ru-RU	canonical	KIDS.STROLLERS_CARSEATS	KIDS	KIDS.STROLLERS_CARSEATS	product	
Q.KIDS.0076	коляска для новорожденного недорого	ru-RU	canonical	KIDS.STROLLERS_CARSEATS	KIDS	KIDS.STROLLERS_CARSEATS	product	
