qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.PETS.0001	клетка для птиц	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0002	клетка для птиц купить	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0003	переноска для кошек оригинал	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0004	домик для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0005	когтеточка оригинал	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0006	игрушка для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0007	игрушка для собаки самовывоз	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0008	поводок рулетка для попугая самовывоз	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0009	поводок рулетка для собак купить	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0010	поилка для кошек	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0011	намордник для собак недорого	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0012	переноска для кошек	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0013	домик для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0014	домик для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0015	миска для собак	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0016	поилка для кошек	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0017	переноска для кошек	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0018	игрушка для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0019	когтеточка	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0020	лежанка для хомяка	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0021	поилка для кошек	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0022	игрушка для собаки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0023	намордник для собак	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0024	аквариум фильтр рядом	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0025	игрушка для собаки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0026	аквариум фильтр	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0027	миска для собак с доставкой	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0028	намордник для собак с доставкой	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0029	поводок рулетка для хомяка	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0030	клетка для птиц купить	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0031	клетка для птиц	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0032	аквариум фильтр	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0033	домик для кошки оригинал	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0034	клетка для птиц недорого	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0035	игрушка для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0036	миска для собак	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0037	поилка для кошек недорого	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0038	клетка для птиц	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0039	миска для собак	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0040	лежанка для собак	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0041	домик для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0042	намордник для собак	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0043	игрушка для собаки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0044	миска для собак	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0045	шлейка для щенков	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0046	ошейник для кошек	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0047	переноска для кошек	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0048	домик для кошки оригинал	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0049	домик для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0050	переноска для кошек недорого	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0051	домик для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0052	когтеточка рядом	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0053	игрушка для кошки	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0054	домик для кошки рядом	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
Q.PETS.0055	аквариум фильтр купить	ru-RU	canonical	PETS.ACCESSORIES	PETS	PETS.ACCESSORIES	product	
