model_code	brand	manufacturer_brand	brand_parent	family	line	model	phone_type	release_year	market_priority_tier	resale_liquidity_tier	region_scope	seed_status	storage_values	ram_values	color_hint_values	source_policy	notes
APPLE_IPHONE_13	APPLE	APPLE		IPHONE	13	iPhone 13	SMARTPHONE	2021	S	S	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_15	APPLE	APPLE		IPHONE	15	iPhone 15	SMARTPHONE	2023	S	A	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_15_PRO	APPLE	APPLE		IPHONE	15	iPhone 15 Pro	SMARTPHONE	2023	S	S	GLOBAL	active_head	128|256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_15_PRO_MAX	APPLE	APPLE		IPHONE	15	iPhone 15 Pro Max	SMARTPHONE	2023	S	S	GLOBAL	active_head	256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_16	APPLE	APPLE		IPHONE	16	iPhone 16	SMARTPHONE	2024	S	A	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_16_PRO	APPLE	APPLE		IPHONE	16	iPhone 16 Pro	SMARTPHONE	2024	S	S	GLOBAL	active_head	128|256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_16_PRO_MAX	APPLE	APPLE		IPHONE	16	iPhone 16 Pro Max	SMARTPHONE	2024	S	S	GLOBAL	active_head	256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_17	APPLE	APPLE		IPHONE	17	iPhone 17	SMARTPHONE	2025	S	A	GLOBAL	active_head	256|512			official_apple_compare_2026_05	
APPLE_IPHONE_17_PRO	APPLE	APPLE		IPHONE	17	iPhone 17 Pro	SMARTPHONE	2025	S	A	GLOBAL	active_head	256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_17_PRO_MAX	APPLE	APPLE		IPHONE	17	iPhone 17 Pro Max	SMARTPHONE	2025	S	A	GLOBAL	active_head	256|512|1024|2048			official_apple_compare_2026_05	
GOOGLE_PIXEL_9_PRO	GOOGLE	GOOGLE		PIXEL	9	Pixel 9 Pro	SMARTPHONE	2024	S	A	GLOBAL	active_head	128|256|512|1024	16		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_9_PRO_XL	GOOGLE	GOOGLE		PIXEL	9	Pixel 9 Pro XL	SMARTPHONE	2024	S	A	GLOBAL	active_head	128|256|512|1024	16		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_10	GOOGLE	GOOGLE		PIXEL	10	Pixel 10	SMARTPHONE	2025	S	A	GLOBAL	active_head	128|256	12		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_10_PRO	GOOGLE	GOOGLE		PIXEL	10	Pixel 10 Pro	SMARTPHONE	2025	S	A	GLOBAL	active_head	128|256|512|1024	16		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_10_PRO_XL	GOOGLE	GOOGLE		PIXEL	10	Pixel 10 Pro XL	SMARTPHONE	2025	S	A	GLOBAL	active_head	128|256|512|1024	16		official_google_store_or_market_head_seed	
REDMI_REDMI_NOTE_14_PRO_5G	REDMI	XIAOMI	XIAOMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro 5G	SMARTPHONE	2025	S	A	GLOBAL	active_head	128|256|512	8|12		official_xiaomi_or_market_head_seed	
REDMI_REDMI_NOTE_14_PRO_PLUS_5G	REDMI	XIAOMI	XIAOMI	REDMI_NOTE	NOTE_14	Redmi Note 14 Pro+ 5G	SMARTPHONE	2025	S	A	GLOBAL	active_head	256|512	8|12		official_xiaomi_or_market_head_seed	
SAMSUNG_GALAXY_A55_5G	SAMSUNG	SAMSUNG		GALAXY_A	A55	Galaxy A55 5G	SMARTPHONE	2024	S	A	GLOBAL	active_head	128|256	8|12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S24	SAMSUNG	SAMSUNG		GALAXY_S	S24	Galaxy S24	SMARTPHONE	2024	S	A	GLOBAL	active_head	128|256|512	8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S24_ULTRA	SAMSUNG	SAMSUNG		GALAXY_S	S24	Galaxy S24 Ultra	SMARTPHONE	2024	S	S	GLOBAL	active_head	256|512|1024	12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_A56_5G	SAMSUNG	SAMSUNG		GALAXY_A	A56	Galaxy A56 5G	SMARTPHONE	2025	S	A	GLOBAL	active_head	128|256	8|12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S25	SAMSUNG	SAMSUNG		GALAXY_S	S25	Galaxy S25	SMARTPHONE	2025	S	A	GLOBAL	active_head	128|256|512	12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S25_ULTRA	SAMSUNG	SAMSUNG		GALAXY_S	S25	Galaxy S25 Ultra	SMARTPHONE	2025	S	A	GLOBAL	active_head	256|512|1024	12|16		official_samsung_or_market_head_seed	
APPLE_IPHONE_12	APPLE	APPLE		IPHONE	12	iPhone 12	SMARTPHONE	2020	A	A	GLOBAL	active_head	64|128|256			official_apple_compare_2026_05	
APPLE_IPHONE_13_PRO	APPLE	APPLE		IPHONE	13	iPhone 13 Pro	SMARTPHONE	2021	A	A	GLOBAL	active_head	128|256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_13_PRO_MAX	APPLE	APPLE		IPHONE	13	iPhone 13 Pro Max	SMARTPHONE	2021	A	S	GLOBAL	active_head	128|256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_14	APPLE	APPLE		IPHONE	14	iPhone 14	SMARTPHONE	2022	A	A	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_14_PRO	APPLE	APPLE		IPHONE	14	iPhone 14 Pro	SMARTPHONE	2022	A	S	GLOBAL	active_head	128|256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_14_PRO_MAX	APPLE	APPLE		IPHONE	14	iPhone 14 Pro Max	SMARTPHONE	2022	A	S	GLOBAL	active_head	128|256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_15_PLUS	APPLE	APPLE		IPHONE	15	iPhone 15 Plus	SMARTPHONE	2023	A	A	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_16_PLUS	APPLE	APPLE		IPHONE	16	iPhone 16 Plus	SMARTPHONE	2024	A	A	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_16E	APPLE	APPLE		IPHONE	16	iPhone 16e	SMARTPHONE	2025	A	B	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
