brand	family	model_name	smart_home_type	protocol	ecosystem	source_tier	notes
GOOGLE_NEST	Nest	Nest Hub 2nd Gen	SMART_DISPLAY	WIFI;THREAD	GOOGLE_HOME;MATTER_ECOSYSTEM	head	
GOOGLE_NEST	Nest	Nest Audio	SMART_SPEAKER	WIFI	GOOGLE_HOME	head	
GOOGLE_NEST	Nest	Nest Cam Indoor	SECURITY_CAMERA	WIFI	GOOGLE_HOME	head	
GOOGLE_NEST	Nest	Nest Doorbell	VIDEO_DOORBELL	WIFI	GOOGLE_HOME	head	
AMAZON_ECHO_RING	Echo	Echo Dot	SMART_SPEAKER	WIFI	AMAZON_ALEXA	head	
AMAZON_ECHO_RING	Echo	Echo Show 8	SMART_DISPLAY	WIFI	AMAZON_ALEXA	head	
AMAZON_ECHO_RING	Ring	Ring Video Doorbell	VIDEO_DOORBELL	WIFI	AMAZON_ALEXA	head	
APPLE_HOMEPOD	HomePod	HomePod mini	SMART_SPEAKER	WIFI;THREAD;MATTER	APPLE_HOME	head	
XIAOMI_MI	Mi Home	Xiaomi Smart Camera C300	SECURITY_CAMERA	WIFI	XIAOMI_MI_HOME	head	
XIAOMI_MI	Mi Home	Xiaomi Smart Plug 2	SMART_PLUG	WIFI	XIAOMI_MI_HOME	head	
AQARA	Aqara	Aqara Hub M3	HOME_HUB	ZIGBEE;THREAD;MATTER;WIFI	AQARA_HOME;APPLE_HOME	head	
AQARA	Aqara	Aqara Door and Window Sensor P2	SMART_SENSOR	THREAD;MATTER	AQARA_HOME;APPLE_HOME	head	
AQARA	Aqara	Aqara Presence Sensor FP2	SMART_SENSOR	WIFI	AQARA_HOME	head	
AQARA	Aqara	Aqara Smart Lock U200	SMART_LOCK	THREAD;MATTER	AQARA_HOME;APPLE_HOME	head	
PHILIPS_HUE	Hue	Hue Bridge	HOME_HUB	ZIGBEE;ETHERNET	APPLE_HOME;GOOGLE_HOME;AMAZON_ALEXA	head	
PHILIPS_HUE	Hue	Hue White and Color Ambiance E27	SMART_LIGHT	ZIGBEE;BLUETOOTH	APPLE_HOME;GOOGLE_HOME	head	
TP_LINK_TAPO_KASA	Tapo	Tapo C200	SECURITY_CAMERA	WIFI	PROPRIETARY_APP	head	
TP_LINK_TAPO_KASA	Tapo	Tapo C210	SECURITY_CAMERA	WIFI	PROPRIETARY_APP	head	
TP_LINK_TAPO_KASA	Tapo	Tapo P110	SMART_PLUG	WIFI	PROPRIETARY_APP	head	
SAMSUNG_SMARTTHINGS	SmartThings	SmartThings Station	HOME_HUB	WIFI;ZIGBEE;THREAD;MATTER	SAMSUNG_SMARTTHINGS	head	
IKEA_DIRIGERA	Dirigera	IKEA Dirigera Hub	HOME_HUB	ZIGBEE;MATTER	MATTER_ECOSYSTEM	head	
SONOFF	Sonoff	Sonoff Basic R2	SMART_SWITCH	WIFI	PROPRIETARY_APP	head	
SONOFF	Sonoff	Sonoff ZBMINI	SMART_SWITCH	ZIGBEE	HOME_ASSISTANT	head	
SHELLY	Shelly	Shelly Plus 1	SMART_SWITCH	WIFI;BLUETOOTH	HOME_ASSISTANT	head	
MEROSS	Meross	Meross Smart Wi-Fi Plug	SMART_PLUG	WIFI	APPLE_HOME;GOOGLE_HOME	head	
EUFY	Eufy	EufyCam 2C	SECURITY_CAMERA	WIFI	PROPRIETARY_APP	head	
EUFY	Eufy	Eufy Video Doorbell 2K	VIDEO_DOORBELL	WIFI	PROPRIETARY_APP	head	
ARLO	Arlo	Arlo Pro 4	SECURITY_CAMERA	WIFI	PROPRIETARY_APP	head	
REOLINK	Reolink	Reolink Argus 3 Pro	SECURITY_CAMERA	WIFI	PROPRIETARY_APP	head	
REOLINK	Reolink	Reolink RLC-810A	SECURITY_CAMERA	POE;ETHERNET	PROPRIETARY_APP	head	
EZVIZ	EZVIZ	EZVIZ C6N	SECURITY_CAMERA	WIFI	PROPRIETARY_APP	head	
NETATMO	Netatmo	Netatmo Smart Thermostat	SMART_THERMOSTAT	WIFI	APPLE_HOME;GOOGLE_HOME	head	
TADO	Tado	Tado Smart Thermostat V3+	SMART_THERMOSTAT	WIFI	APPLE_HOME;GOOGLE_HOME	head	
TADO	Tado	Tado Smart Radiator Thermostat	SMART_THERMOSTAT	WIFI	APPLE_HOME;GOOGLE_HOME	head	
YALE	Yale	Yale Linus Smart Lock	SMART_LOCK	BLUETOOTH;WIFI	APPLE_HOME;GOOGLE_HOME	head	
AUGUST	August	August Wi-Fi Smart Lock	SMART_LOCK	WIFI;BLUETOOTH	APPLE_HOME;GOOGLE_HOME	head	
NUKI	Nuki	Nuki Smart Lock 4.0	SMART_LOCK	BLUETOOTH;THREAD;MATTER	MATTER_ECOSYSTEM	head	
SWITCHBOT	SwitchBot	SwitchBot Lock Pro	SMART_LOCK	BLUETOOTH;WIFI	PROPRIETARY_APP	head	
SWITCHBOT	SwitchBot	SwitchBot Hub 2	HOME_HUB	WIFI;BLUETOOTH;MATTER	MATTER_ECOSYSTEM	head	
GOVEE	Govee	Govee RGBIC LED Strip	SMART_LIGHT	WIFI;BLUETOOTH	PROPRIETARY_APP	head	
YEELIGHT	Yeelight	Yeelight Smart LED Bulb W3	SMART_LIGHT	WIFI	XIAOMI_MI_HOME	head	
YANDEX	Станция	Яндекс Станция Мини	SMART_SPEAKER	WIFI;BLUETOOTH	YANDEX_ALICE	head	
YANDEX	Станция	Яндекс Станция Миди	SMART_SPEAKER	WIFI;BLUETOOTH;ZIGBEE	YANDEX_ALICE	head	
SBER	SberBoom	SberBoom Mini	SMART_SPEAKER	WIFI;BLUETOOTH	SBER_SALUT	head	
VK_CAPSULE	Капсула	VK Капсула Мини	SMART_SPEAKER	WIFI;BLUETOOTH	VK_MARUSIA	head	
TUYA_SMART_LIFE	Tuya	Tuya Zigbee Temperature Humidity Sensor	SMART_SENSOR	ZIGBEE	TUYA_SMART_LIFE	head	
TUYA_SMART_LIFE	Tuya	Tuya WiFi Smart Siren	ALARM_SIREN	WIFI	TUYA_SMART_LIFE	head	
TUYA_SMART_LIFE	Tuya	Tuya Smart Home Starter Kit	AUTOMATION_KIT	ZIGBEE;WIFI	TUYA_SMART_LIFE	head	
