brand	family	line	model	av_type	key_specs	priority	value_kind	notes
SAMSUNG	NEO_QLED	QN90	QN90D	TV	4K Mini LED, 120Hz, Tizen	100	head	representative head seed; not full global registry
SAMSUNG	NEO_QLED	QN900	QN900D	TV	8K Mini LED, Tizen	99	head	representative head seed; not full global registry
SAMSUNG	OLED	S95	S95D	TV	QD-OLED, 4K, 120Hz+	98	head	representative head seed; not full global registry
SAMSUNG	THE_FRAME	LS03	The Frame LS03D	TV	QLED lifestyle TV	97	head	representative head seed; not full global registry
LG	OLED_EVO	C_SERIES	OLED C4	TV	4K OLED, webOS	100	head	representative head seed; not full global registry
LG	OLED_EVO	G_SERIES	OLED G4	TV	Gallery OLED, 4K	99	head	representative head seed; not full global registry
LG	QNED	QNED	QNED86	TV	QNED / Mini LED family	92	head	representative head seed; not full global registry
SONY	BRAVIA	BRAVIA_9	BRAVIA 9	TV	Mini LED, Google TV	100	head	representative head seed; not full global registry
SONY	BRAVIA	BRAVIA_8	BRAVIA 8	TV	OLED, Google TV	98	head	representative head seed; not full global registry
SONY	BRAVIA	X90	X90L	TV	4K LED, Google TV	95	head	representative head seed; not full global registry
SONY	BRAVIA	A95	A95L	TV	QD-OLED, Google TV	94	head	representative head seed; not full global registry
TCL	C_SERIES	C805	C805	TV	Mini LED 4K	92	head	representative head seed; not full global registry
TCL	C_SERIES	C855	C855	TV	Mini LED 4K	91	head	representative head seed; not full global registry
TCL	QM_SERIES	QM8	QM8	TV	Mini LED 4K	90	head	representative head seed; not full global registry
HISENSE	U_SERIES	U7	U7N	TV	ULED 4K	90	head	representative head seed; not full global registry
HISENSE	U_SERIES	U8	U8N	TV	ULED Mini LED	90	head	representative head seed; not full global registry
PHILIPS	OLED	OLED808	OLED808	TV	Ambilight OLED	88	head	representative head seed; not full global registry
PANASONIC	OLED	MZ2000	MZ2000	TV	OLED 4K	85	head	representative head seed; not full global registry
XIAOMI	TV_A_PRO	A_PRO	TV A Pro	TV	4K Google TV	84	head	representative head seed; not full global registry
VIZIO	M_SERIES	M	M-Series Quantum	TV	4K Smart TV	80	head	representative head seed; not full global registry
EPSON	HOME_CINEMA	5050UB	Home Cinema 5050UB	PROJECTOR	4K enhancement, 3LCD	100	head	representative head seed; not full global registry
EPSON	EH_TW	TW7000	EH-TW7000	PROJECTOR	4K PRO-UHD	94	head	representative head seed; not full global registry
EPSON	EH_LS	LS800	EH-LS800	PROJECTOR	UST laser	96	head	representative head seed; not full global registry
BENQ	TK_SERIES	TK860	TK860i	PROJECTOR	4K HDR home cinema	94	head	representative head seed; not full global registry
BENQ	X_SERIES	X3000	X3000i	PROJECTOR	4K gaming projector	93	head	representative head seed; not full global registry
OPTOMA	UHD	UHD35	UHD35	PROJECTOR	4K DLP	90	head	representative head seed; not full global registry
XGIMI	HORIZON	HORIZON_ULTRA	Horizon Ultra	PROJECTOR	4K long throw	92	head	representative head seed; not full global registry
ANKER_NEBULA	CAPSULE	CAPSULE_3	Nebula Capsule 3	PROJECTOR	portable laser projector	88	head	representative head seed; not full global registry
VIEWSONIC	X_SERIES	X2_4K	X2-4K	PROJECTOR	short throw 4K	86	head	representative head seed; not full global registry
FORMOVIE	THEATER	THEATER	Formovie Theater	PROJECTOR	UST laser TV	88	head	representative head seed; not full global registry
