attribute_code	role	data_type	cardinality	required_policy	usage_scope	value_source	ui_exposure	normalization_policy	validation_rule	owned_by	depends_on	description_ru
brand	T0_CORE	string	single	required_if_extractable	identity_surface/inherited_ref	TECH.ELECTRONICS_COMMON#brand + runtime_candidates	initial_field,primary_facet	normalize_brand_alias_case_punctuation	non_empty_if_exact_identity	TECH.ELECTRONICS_COMMON		Канонический бренд устройства; в этом пакете используется как identity dimension, но базовая brand-поверхность задана в ELECTRONICS_COMMON.
manufacturer	T0_CORE	string	single	optional_if_same_as_brand	identity_surface/inherited_ref	TECH.ELECTRONICS_COMMON#manufacturer + runtime_candidates	expanded_field	normalize_manufacturer_alias	non_empty_if_present	TECH.ELECTRONICS_COMMON	brand	Производитель/OEM, если отличается от бренда или важен для лицензированных устройств.
family	T0_CORE	string	single	required_for_exact_model_if_known	identity_surface	head_family_values + runtime_candidates	initial_field,primary_facet	normalize_family_alias	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	brand	Семейство продукта: iPhone, Galaxy S, MacBook, ThinkPad, PlayStation, Xbox, Alpha, EOS и т.д.; не является полным model registry.
line	T0_CORE	string	single	optional_but_promoted_when_present	identity_surface	runtime_candidates	initial_field	normalize_line_series_alias	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	family	Линейка/подлинейка внутри family: Pro, Ultra, Max, Air, Legion, XPS, ROG, Odyssey и т.д.
model	T0_CORE	string	single	required_for_exact_model_resolution	identity_surface	runtime_candidates/live_values	initial_field	preserve_model_tokens_normalize_spacing	non_empty_if_exact_identity	TECH.DEVICE_IDENTITY_COMMON	brand,family,identity_evidence_level	Каноническая модель, если она доказана evidence. Не угадывается по фото/форме/цвету.
model_name_text	T0_CORE	string	single	required_if_title_contains_identity_claim	identity_surface	source_title/ocr/vendor_attrs/runtime	initial_field	normalize_spacing_keep_original_tokens	max_len:160	TECH.DEVICE_IDENTITY_COMMON		Человекочитаемый текст модели из title/OCR/vendor attrs, до или после нормализации.
identity_resolution_status	T0_CORE	enum	single	required	identity_governance	values#identity_resolution_status	initial_field,primary_facet	uppercase_enum	allowed_values_only	TECH.DEVICE_IDENTITY_COMMON	identity_confidence	Статус разрешения идентичности: unresolved/candidate/partial/full/conflict/review.
identity_confidence	T0_CORE	decimal	single	required	identity_governance	computed:0..1	initial_field	clamp_0_1	0<=value<=1	TECH.DEVICE_IDENTITY_COMMON	identity_evidence_level,identity_evidence_types	Численная уверенность identity engine.
series	T1_TYPE_RELEVANT	string	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	family	Серия/серийная группа устройства, если производитель использует отдельную series семантику.
model_aliases	T1_TYPE_RELEVANT	list[string]	multi	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	model	Нормализованные альтернативные написания модели/семейства из алиасов и source text.
model_number	T1_TYPE_RELEVANT	string	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	brand	Номер модели производителя: Axxxx, SM-xxxx, Mxxxx, CFI-xxxx, 20xx и т.д.
mpn	T1_TYPE_RELEVANT	string	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	brand	Manufacturer Part Number / MPN; используется как сильное evidence, но не заменяет модель без brand/manufacturer.
gtin	T1_TYPE_RELEVANT	string	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	gtin_checksum_if_known	TECH.DEVICE_IDENTITY_COMMON		GTIN любой длины 8/12/13/14, нормализованный как numeric string.
ean	T1_TYPE_RELEVANT	string	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	gtin_checksum_if_known	TECH.DEVICE_IDENTITY_COMMON		EAN-13 как регионально частый GTIN вариант.
upc	T1_TYPE_RELEVANT	string	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	gtin_checksum_if_known	TECH.DEVICE_IDENTITY_COMMON		UPC-A как GTIN-12.
release_year	T1_TYPE_RELEVANT	integer	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	model	Год релиза/поколения, наследуемый с electronics layer и уточняемый для identity.
region_variant	T1_TYPE_RELEVANT	enum	single	required_if_extractable_or_for_exact_identity	identity_surface	values#region_variant	primary_facet	normalize_identity_token	allowed_values_only	TECH.DEVICE_IDENTITY_COMMON	model	Региональный вариант: EU/US/CN/JP/KR/RU/Global/Carrier/Unlocked и т.д.
generation	T1_TYPE_RELEVANT	string	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	family	Поколение/итерация продукта: Gen 9, 2nd Gen, Series 9, 11th Gen и т.д.
variant_label	T1_TYPE_RELEVANT	string	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	model	Маркетинговый вариант: Pro, Max, Ultra, Mini, Plus, SE, Lite, OLED, Digital Edition.
model_granularity	T1_TYPE_RELEVANT	enum	single	required_if_extractable_or_for_exact_identity	identity_surface	values#model_granularity	primary_facet	normalize_identity_token	allowed_values_only	TECH.DEVICE_IDENTITY_COMMON	identity_resolution_status	Уровень точности identity: brand_only/family_only/line_only/exact_model/exact_variant.
identity_evidence_level	T1_TYPE_RELEVANT	enum	single	required_if_extractable_or_for_exact_identity	identity_surface	values#identity_evidence_level	expanded_field	normalize_identity_token	allowed_values_only	TECH.DEVICE_IDENTITY_COMMON	identity_evidence_types	Сильнейший доступный уровень evidence для identity.
identity_evidence_types	T1_TYPE_RELEVANT	list[enum]	multi	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON		Набор evidence sources: title/OCR/barcode/mpn/vendor/user confirmed/etc.
identity_source	T1_TYPE_RELEVANT	enum	single	required_if_extractable_or_for_exact_identity	identity_surface	values#identity_source	expanded_field	normalize_identity_token	allowed_values_only	TECH.DEVICE_IDENTITY_COMMON		Основной источник identity: title, description, OCR, barcode, vendor feed, official DB, user input.
identity_context_role	T1_TYPE_RELEVANT	enum	single	required_if_extractable_or_for_exact_identity	identity_surface	values#identity_context_role	expanded_field	normalize_identity_token	allowed_values_only	TECH.DEVICE_IDENTITY_COMMON		Роль identity claim в объявлении: own_device, compatibility_hint, bundle_item, replacement_part, accessory_context.
identity_review_required	T1_TYPE_RELEVANT	boolean	single	required_if_extractable_or_for_exact_identity	identity_surface	runtime_candidates/source_attrs	expanded_field	normalize_identity_token	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	identity_resolution_status	Флаг ручной/LLM-review проверки identity из-за конфликта или слабого evidence.
brand_aliases	T2_OPTIONAL_ENRICHMENT	list[string]	multi	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	brand	Алиасы бренда из source text и alias layer.
family_aliases	T2_OPTIONAL_ENRICHMENT	list[string]	multi	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	family	Алиасы family из source text и alias layer.
line_aliases	T2_OPTIONAL_ENRICHMENT	list[string]	multi	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	line	Алиасы line/series.
sub_model	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	model	Подмодель/коммерческий suffix, если не поднимается до exact model.
edition	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	model	Edition/комплектация как identity-фактор: Digital Edition, Creator, Founders Edition.
product_code	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	brand	Общий код продукта из упаковки/страницы продавца.
part_number	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	brand	Part number; чаще для компонентов, запчастей, аксессуаров и enterprise hardware.
manufacturer_part_number	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	mpn	Синоним MPN в исходных данных, до нормализации в mpn.
