attribute_code	value_code	label_ru	aliases_ru	priority	usage_scope	notes
smart_home_type	SMART_SPEAKER	Умная колонка		1	head_value	type
smart_home_type	SMART_DISPLAY	Умный дисплей		2	head_value	type
smart_home_type	SMART_LIGHT	Умный свет		3	head_value	type
smart_home_type	SMART_PLUG	Умная розетка		4	head_value	type
smart_home_type	SMART_SWITCH	Умный выключатель		5	head_value	type
smart_home_type	SMART_SENSOR	Умный датчик		6	head_value	type
smart_home_type	SECURITY_CAMERA	Камера безопасности		7	head_value	type
smart_home_type	VIDEO_DOORBELL	Видеозвонок		8	head_value	type
smart_home_type	SMART_LOCK	Умный замок		9	head_value	type
smart_home_type	SMART_THERMOSTAT	Умный термостат		10	head_value	type
smart_home_type	HOME_HUB	Хаб умного дома		11	head_value	type
smart_home_type	ALARM_SIREN	Сигнализация / сирена		12	head_value	type
smart_home_type	AUTOMATION_KIT	Комплект автоматизации		13	head_value	type
brand	GOOGLE_NEST	Google Nest		1	head_value	smart home head brand
brand	AMAZON_ECHO_RING	Amazon Echo Ring		2	head_value	smart home head brand
brand	APPLE_HOMEPOD	Apple Homepod		3	head_value	smart home head brand
brand	XIAOMI_MI	Xiaomi Mi		4	head_value	smart home head brand
brand	AQARA	Aqara		5	head_value	smart home head brand
brand	PHILIPS_HUE	Philips Hue		6	head_value	smart home head brand
brand	TP_LINK_TAPO_KASA	Tp Link Tapo Kasa		7	head_value	smart home head brand
brand	SAMSUNG_SMARTTHINGS	Samsung Smartthings		8	head_value	smart home head brand
brand	IKEA_DIRIGERA	Ikea Dirigera		9	head_value	smart home head brand
brand	TUYA_SMART_LIFE	Tuya Smart Life		10	head_value	smart home head brand
brand	SONOFF	Sonoff		11	head_value	smart home head brand
brand	SHELLY	Shelly		12	head_value	smart home head brand
brand	MEROSS	Meross		13	head_value	smart home head brand
brand	EUFY	Eufy		14	head_value	smart home head brand
brand	ARLO	Arlo		15	head_value	smart home head brand
brand	REOLINK	Reolink		16	head_value	smart home head brand
brand	EZVIZ	Ezviz		17	head_value	smart home head brand
brand	HIKVISION	Hikvision		18	head_value	smart home head brand
brand	DAHUA	Dahua		19	head_value	smart home head brand
brand	IMOU	Imou		20	head_value	smart home head brand
brand	WYZE	Wyze		21	head_value	smart home head brand
brand	BLINK	Blink		22	head_value	smart home head brand
brand	NETATMO	Netatmo		23	head_value	smart home head brand
brand	TADO	Tado		24	head_value	smart home head brand
brand	HONEYWELL_HOME	Honeywell Home		25	head_value	smart home head brand
brand	ECOBEE	Ecobee		26	head_value	smart home head brand
brand	YALE	Yale		27	head_value	smart home head brand
brand	AUGUST	August		28	head_value	smart home head brand
brand	NUKI	Nuki		29	head_value	smart home head brand
brand	SWITCHBOT	Switchbot		30	head_value	smart home head brand
brand	BOSCH_SMART_HOME	Bosch Smart Home		31	head_value	smart home head brand
brand	GOVEE	Govee		32	head_value	smart home head brand
brand	YEELIGHT	Yeelight		33	head_value	smart home head brand
brand	LIFX	Lifx		34	head_value	smart home head brand
brand	YANDEX	Yandex		35	head_value	smart home head brand
brand	SBER	Sber		36	head_value	smart home head brand
brand	VK_CAPSULE	Vk Capsule		37	head_value	smart home head brand
protocol	WIFI	Wi-Fi	wifi;вай фай	1	head_value	
protocol	ZIGBEE	Zigbee	зигби	2	head_value	
protocol	Z_WAVE	Z-Wave	z wave	3	head_value	
protocol	THREAD	Thread	тред	4	head_value	
protocol	MATTER	Matter	матер	5	head_value	
protocol	BLUETOOTH	Bluetooth	ble;блютуз	6	head_value	
protocol	RF_433	RF 433 MHz	433	7	head_value	
protocol	INFRARED	Infrared	ir;ик	8	head_value	
protocol	ETHERNET	Ethernet	lan	9	head_value	
protocol	POE	PoE	power over ethernet	10	head_value	
ecosystem	APPLE_HOME	Apple Home	homekit	1	head_value	
ecosystem	GOOGLE_HOME	Google Home	google assistant	2	head_value	
ecosystem	AMAZON_ALEXA	Amazon Alexa	alexa	3	head_value	
ecosystem	SAMSUNG_SMARTTHINGS	Samsung SmartThings	smartthings	4	head_value	
ecosystem	YANDEX_ALICE	Яндекс Алиса	алиса	5	head_value	
ecosystem	VK_MARUSIA	VK Маруся	маруся	6	head_value	
ecosystem	SBER_SALUT	Сбер Салют	salut	7	head_value	
ecosystem	XIAOMI_MI_HOME	Xiaomi Mi Home	mi home	8	head_value	
ecosystem	AQARA_HOME	Aqara Home	aqara	9	head_value	
ecosystem	TUYA_SMART_LIFE	Tuya / Smart Life	tuya;smartlife	10	head_value	
ecosystem	HOME_ASSISTANT	Home Assistant	ha	11	head_value	
ecosystem	MATTER_ECOSYSTEM	Matter	matter	12	head_value	
ecosystem	PROPRIETARY_APP	Собственное приложение	vendor app	13	head_value	
power_source	MAINS	От сети	220в	1	head_value	
power_source	BATTERY	Батарея	battery	2	head_value	
power_source	USB	USB	usb-c	3	head_value	
power_source	POE	PoE	ethernet power	4	head_value	
power_source	SOLAR	Солнечная панель	solar	5	head_value	
power_source	HARDWIRED	Проводное	wired	6	head_value	
indoor_outdoor	INDOOR	Для помещения	внутренняя	1	head_value	
indoor_outdoor	OUTDOOR	Для улицы	наружная	2	head_value	
indoor_outdoor	INDOOR_OUTDOOR	Внутри и снаружи	универсальная	3	head_value	
video_resolution	HD_720P	720p HD	hd	1	head_value	
video_resolution	FULL_HD_1080P	1080p Full HD	fhd	2	head_value	
video_resolution	QHD_2K	2K / QHD	2к	3	head_value	
video_resolution	UHD_4K	4K UHD	4к	4	head_value	
sensor_kind	DOOR_WINDOW	Датчик открытия	дверь окно	1	head_value	
sensor_kind	MOTION	Датчик движения	motion	2	head_value	
sensor_kind	PRESENCE	Датчик присутствия	presence mmwave	3	head_value	
sensor_kind	TEMPERATURE_HUMIDITY	Температура/влажность	temp humidity	4	head_value	
sensor_kind	WATER_LEAK	Протечка воды	leak	5	head_value	
sensor_kind	SMOKE	Дым	smoke	6	head_value	
sensor_kind	CO_GAS	CO/газ	gas	7	head_value	
sensor_kind	LIGHT	Освещённость	lux	8	head_value	
sensor_kind	VIBRATION	Вибрация	vibration	9	head_value	
sensor_kind	BUTTON	Кнопка	button	10	head_value	
lock_type	DEADBOLT	Deadbolt	ригельный	1	head_value	
lock_type	RETROFIT	Накладной retrofit	накладной	2	head_value	
lock_type	HANDLE_LOCK	Замок-ручка	handle	3	head_value	
lock_type	MORTISE	Врезной	mortise	4	head_value	
lock_type	PADLOCK	Навесной	padlock	5	head_value	
lock_type	CYLINDER	Цилиндровый	cylinder	6	head_value	
thermostat_type	WALL_THERMOSTAT	Настенный термостат	wall thermostat	1	head_value	
thermostat_type	RADIATOR_VALVE	Термоголовка	trv	2	head_value	
thermostat_type	FLOOR_HEATING_CONTROLLER	Контроллер тёплого пола	floor heating	3	head_value	
thermostat_type	AC_CONTROLLER	Контроллер кондиционера	ac controller	4	head_value	
bulb_base	E27	E27		1	head_value	
bulb_base	E14	E14		2	head_value	
bulb_base	GU10	GU10		3	head_value	
bulb_base	G9	G9		4	head_value	
bulb_base	B22	B22		5	head_value	
bulb_base	LIGHT_STRIP	Лента	strip	6	head_value	
bulb_base	PANEL	Панель	panel	7	head_value	
installation_type	PLUG_IN	В розетку	plug in	1	head_value	
installation_type	BATTERY_POWERED	На батарейках	battery	2	head_value	
installation_type	WIRED	Проводная установка	hardwired	3	head_value	
installation_type	RETROFIT	Накладная/retrofit	retrofit	4	head_value	
installation_type	DIN_RAIL	DIN-рейка	din	5	head_value	
installation_type	IN_WALL	В стену	in wall	6	head_value	
installation_type	TABLETOP	Настольная	desktop	7	head_value	
storage_mode	MICROSD	microSD	карта памяти	1	head_value	
storage_mode	LOCAL_STORAGE	Локальное	local	2	head_value	
storage_mode	CLOUD	Облако	cloud	3	head_value	
storage_mode	NVR	NVR	регистратор	4	head_value	
storage_mode	NAS	NAS		5	head_value	
storage_mode	NO_STORAGE	Без хранения	no record	6	head_value	
subscription_required	NO	Не нужна	без подписки	1	head_value	
subscription_required	OPTIONAL	Опционально	optional	2	head_value	
subscription_required	REQUIRED	Требуется	required	3	head_value	
subscription_required	UNKNOWN	Неизвестно	unknown	4	head_value	
switch_type	ONE_GANG	1 клавиша	1 gang	1	head_value	
switch_type	TWO_GANG	2 клавиши	2 gang	2	head_value	
switch_type	THREE_GANG	3 клавиши	3 gang	3	head_value	
switch_type	DIMMER	Диммер	dimmer	4	head_value	
switch_type	RELAY	Реле	relay	5	head_value	
switch_type	SCENE_BUTTON	Сценарная кнопка	scene switch	6	head_value	
siren_type	INDOOR_SIREN	Внутренняя сирена	indoor	1	head_value	
siren_type	OUTDOOR_SIREN	Уличная сирена	outdoor	2	head_value	
siren_type	KEYPAD_SIREN	Клавиатура/сирена	keypad	3	head_value	
siren_type	ALARM_KIT	Комплект сигнализации	alarm kit	4	head_value	
automation_use_case	STARTER_KIT	Стартовый комплект	starter kit	1	head_value	
automation_use_case	SECURITY	Безопасность	security	2	head_value	
automation_use_case	LIGHTING	Освещение	lighting	3	head_value	
automation_use_case	CLIMATE	Климат	climate	4	head_value	
automation_use_case	ENERGY	Энергия	energy	5	head_value	
automation_use_case	DOOR_ACCESS	Доступ/двери	access	6	head_value	
connectivity_band	WIFI_2_4_GHZ	WIFI_2_4_GHZ		1	head_value	
connectivity_band	WIFI_5_GHZ	WIFI_5_GHZ		2	head_value	
connectivity_band	WIFI_6_GHZ	WIFI_6_GHZ		3	head_value	
ip_rating	IP20	IP20		1	head_value	
ip_rating	IP44	IP44		2	head_value	
ip_rating	IP54	IP54		3	head_value	
ip_rating	IP65	IP65		4	head_value	
ip_rating	IP66	IP66		5	head_value	
ip_rating	IP67	IP67		6	head_value	
ip_rating	IP68	IP68		7	head_value	
mounting_type	WALL	WALL		1	head_value	
mounting_type	CEILING	CEILING		2	head_value	
mounting_type	DOOR	DOOR		3	head_value	
mounting_type	WINDOW	WINDOW		4	head_value	
mounting_type	TABLE	TABLE		5	head_value	
mounting_type	MAGNETIC	MAGNETIC		6	head_value	
mounting_type	ADHESIVE	ADHESIVE		7	head_value	
hvac_compatibility	BOILER	BOILER		1	head_value	
hvac_compatibility	HEAT_PUMP	HEAT_PUMP		2	head_value	
hvac_compatibility	RADIATOR	RADIATOR		3	head_value	
hvac_compatibility	FLOOR_HEATING	FLOOR_HEATING		4	head_value	
hvac_compatibility	AIR_CONDITIONER	AIR_CONDITIONER		5	head_value	
