attribute_code	label_ru	data_type	role	required	usage_scope	allowed_values_source	unit	validation	notes
categoryCode	Код категории	enum	T0_CORE	true	routing	fixed:TECH.PHONES		must_equal_TECH.PHONES	Крупная public-ветка; не микрокатегория бренда.
phone_type	Тип телефона	enum	T0_CORE	true	routing|facet|ui	values#phone_type		enum	Главный type-переключатель внутри TECH.PHONES.
brand	Бренд	string|enum	T0_CORE	true	identity|facet|ui	inherited:TECH.DEVICE_IDENTITY_COMMON + runtime_candidates		normalized_brand	Head brands + runtime candidates.
family	Семейство	string|enum	T1_TYPE_SPECIFIC	false	identity|facet	model_head_seed#family + runtime_candidates		normalized_family	Например iPhone, Galaxy S, Pixel.
line	Линейка	string|enum	T1_TYPE_SPECIFIC	false	identity	model_head_seed#line + runtime_candidates		normalized_line	Например Pro, Ultra, A-series.
model	Нормализованная модель	string|enum	T1_TYPE_SPECIFIC	false	identity|facet	model_head_seed#model + runtime_candidates		evidence_required	Не угадывать по фото без evidence.
model_name_text	Название модели текстом	string	T0_CORE	true	identity|ui|search	free_text		min_len:2	Фолбэк, когда модель не нормализована.
model_aliases	Алиасы модели	array<string>	T1_TYPE_SPECIFIC	false	identity|search	phone_model_aliases			Не выводить как отдельный фасет.
model_number	Номер модели	string	T1_TYPE_SPECIFIC	false	identity|dedup	runtime_candidates		regex_vendor_model_number	A2890, SM-S918B, G9S9B и т.п.
mpn	MPN / vendor part number	string	T1_TYPE_SPECIFIC	false	identity|dedup	inherited			Приоритетнее title aliases.
gtin	GTIN/EAN/UPC	string	T1_TYPE_SPECIFIC	false	identity|dedup	inherited		barcode_validation	Сильный ключ идентичности.
release_year	Год релиза	integer	T1_TYPE_SPECIFIC	false	identity|facet	range:1995..2030	year	int_range	Из identity layer, можно уточнять из model seed.
region_variant	Региональная версия	enum	T1_TYPE_SPECIFIC	false	identity|facet	values#region_variant		enum	US/EU/CN/HK/JP/Global и т.п.
country_version	Версия для страны	enum	T1_TYPE_SPECIFIC	false	identity|facet	values#country_version		enum	Для импорта/локализации.
storage_capacity_gb	Память, ГБ	integer	T0_CORE	true	specs|facet|ui	values#storage_capacity_gb	GB	allowed_values_or_range	Важный commerce-фасет.
ram_gb	ОЗУ, ГБ	integer	T1_TYPE_SPECIFIC	false	specs|facet	values#ram_gb	GB	allowed_values_or_range	Для Android/feature phones чаще полезно; для iPhone может быть скрыто.
screen_size_inches	Диагональ экрана	decimal	T1_TYPE_SPECIFIC	false	specs|facet	range:1..9	inch	range	Фасет для смартфонов/складных.
screen_resolution	Разрешение экрана	string	T2_OPTIONAL_ENRICHMENT	false	specs	runtime_candidates		regex_resolution	Например 1179x2556.
refresh_rate_hz	Частота экрана	integer	T2_OPTIONAL_ENRICHMENT	false	specs|facet	values#refresh_rate_hz	Hz	allowed_values	60/90/120/144.
chipset	Чипсет	string|enum	T2_OPTIONAL_ENRICHMENT	false	specs	runtime_candidates		evidence_required	Не угадывать по фото.
os_family	ОС	enum	T1_TYPE_SPECIFIC	false	specs|facet	values#os_family		enum	iOS/Android/HarmonyOS/KaiOS.
os_version	Версия ОС	string	T2_OPTIONAL_ENRICHMENT	false	specs	runtime_candidates		semantic_version_or_text	Только если явно указано.
mobile_network_generation	Поколение сети	enum	T1_TYPE_SPECIFIC	false	specs|facet	values#mobile_network_generation		enum	2G/3G/4G/5G.
supported_network_bands_text	Поддерживаемые диапазоны	string	T2_OPTIONAL_ENRICHMENT	false	specs	free_text		evidence_required	Только из спецификаций/карточки.
network_lock_status	Статус блокировки оператора	enum	T1_TYPE_SPECIFIC	false	resale|facet|ui	values#network_lock_status		enum	Unlocked/locked/carrier unknown.
carrier	Оператор	enum|string	T1_TYPE_SPECIFIC	false	resale|facet	values#carrier + runtime_candidates		enum_or_text	Может быть региональным.
activation_status	Статус активации	enum	T2_OPTIONAL_ENRICHMENT	false	resale|safety	values#activation_status		enum	Активирован/не активирован/неизвестно.
account_lock_status	Блокировка аккаунта	enum	T1_TYPE_SPECIFIC	false	resale|safety|ui	values#account_lock_status		enum	iCloud/FRP/account lock.
imei_status	Статус IMEI	enum	T2_OPTIONAL_ENRICHMENT	false	resale|safety	values#imei_status		enum	Не хранить raw IMEI.
blacklist_status	Статус blacklist	enum	T2_OPTIONAL_ENRICHMENT	false	resale|safety	values#blacklist_status		enum	Отдельно от raw IMEI.
