qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.AUTO.0001	автозарядка 70mai 12V	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0002	держатель телефона в авто Pioneer	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0003	фаркоп б/у	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0004	держатель телефона в авто JBL	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0005	радар детектор JBL купить	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0006	коврики в салон	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0007	автохимия шампунь	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0008	полироль для авто	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0009	полироль для авто купить	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0010	коврики в салон б/у	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0011	коврики в салон оригинал	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0012	автохимия шампунь с доставкой	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0013	чехлы на сиденья недорого	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0014	дворники Ugreen оригинал	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0015	автозарядка Sony 12V оригинал	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0016	дворники Xiaomi купить	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0017	полироль для авто	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0018	видеорегистратор Thule недорого	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0019	видеорегистратор Sony недорого	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0020	чехлы на сиденья	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0021	коврики в салон	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0022	фаркоп недорого	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0023	автохимия шампунь оригинал	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0024	багажник на крышу JBL	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0025	чехлы на сиденья	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0026	чехлы на сиденья с доставкой	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0027	видеорегистратор Ugreen	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0028	видеорегистратор Pioneer	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0029	автозарядка Baseus 12V	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0030	автохимия шампунь	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0031	держатель телефона в авто Thule	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0032	автохимия шампунь оригинал	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0033	видеорегистратор Thule	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0034	видеорегистратор Ugreen	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0035	держатель телефона в авто JBL б/у	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0036	коврики в салон	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0037	видеорегистратор Pioneer оригинал	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
Q.AUTO.0038	коврики в салон	ru-RU	canonical	AUTO.ACCESSORIES	AUTO	AUTO.ACCESSORIES	product	
