query	expected_route_target	applies_shared_standard	expected_identity_level	expected_identity_json	must_not_create_category	notes
iphone 13 128gb	TECH.PHONES	true	FULL	"{""brand"": ""APPLE"", ""family"": ""IPHONE"", ""model_name_text"": ""iPhone 13""}"	TECH.IPHONE	exact model text in query
чехол iphone 13 silicone case	TECH.PHONE_ACCESSORIES	true	PARTIAL	"{""family"": ""IPHONE"", ""identity_context_role"": ""ACCESSORY_COMPATIBILITY_HINT""}"	TECH.IPHONE	compatibility context
macbook pro a2338 m1	TECH.COMPUTERS	true	FULL	"{""brand"": ""APPLE"", ""family"": ""MACBOOK_PRO"", ""model_number"": ""A2338""}"	TECH.MACBOOK	model number evidence
airpods pro 2 оригинал	TECH.AUDIO	true	PARTIAL	"{""brand"": ""APPLE"", ""family"": ""AIRPODS"", ""generation"": ""2""}"	TECH.AIRPODS	audio route, no microcategory
ремешок apple watch 45mm	TECH.WEARABLES	true	PARTIAL	"{""family"": ""APPLE_WATCH"", ""identity_context_role"": ""ACCESSORY_COMPATIBILITY_HINT""}"	FASH.ACCESSORIES	wearable accessory route conflict
playstation 5 digital edition	TECH.GAMING	true	FULL	"{""brand"": ""PLAYSTATION"", ""family"": ""PLAYSTATION"", ""edition"": ""DIGITAL_EDITION""}"	TECH.PLAYSTATION	console identity
sony wh-1000xm5 headphones	TECH.AUDIO	true	FULL	"{""brand"": ""SONY"", ""family"": ""WH_1000X"", ""model_name_text"": ""WH-1000XM5""}"	TECH.HEADPHONES	audio identity
nvidia rtx 4070 asus dual	TECH.PC_COMPONENTS	true	FULL	"{""brand"": ""NVIDIA"", ""family"": ""GEFORCE_RTX"", ""model_name_text"": ""RTX 4070""}"	TECH.RTX	component identity
canon eos r6 body	TECH.CAMERAS_DRONES	true	FULL	"{""brand"": ""CANON"", ""family"": ""EOS"", ""model_name_text"": ""EOS R6""}"	TECH.CANON_CAMERAS	camera identity
tp-link archer ax73 router	TECH.NETWORKING	true	FULL	"{""brand"": ""TP_LINK"", ""family"": ""ARCHER"", ""model_name_text"": ""AX73""}"	TECH.ROUTERS	network identity
apple iphone	TECH.PHONES	true	PARTIAL	"{""family"": ""IPHONE""}"	TECH.IPHONE	family head hint, no microcategory
apple ipad	TECH.TABLETS_E_READERS	true	PARTIAL	"{""family"": ""IPAD""}"	TECH.IPAD	family head hint, no microcategory
apple macbook	TECH.COMPUTERS	true	PARTIAL	"{""family"": ""MACBOOK""}"	TECH.MACBOOK	family head hint, no microcategory
apple macbook air	TECH.COMPUTERS	true	PARTIAL	"{""family"": ""MACBOOK_AIR""}"	TECH.MACBOOK_AIR	family head hint, no microcategory
apple macbook pro	TECH.COMPUTERS	true	PARTIAL	"{""family"": ""MACBOOK_PRO""}"	TECH.MACBOOK_PRO	family head hint, no microcategory
apple apple watch	TECH.WEARABLES	true	PARTIAL	"{""family"": ""APPLE_WATCH""}"	TECH.APPLE_WATCH	family head hint, no microcategory
apple airpods	TECH.AUDIO	true	PARTIAL	"{""family"": ""AIRPODS""}"	TECH.AIRPODS	family head hint, no microcategory
samsung galaxy s	TECH.PHONES	true	PARTIAL	"{""family"": ""GALAXY_S""}"	TECH.GALAXY_S	family head hint, no microcategory
samsung galaxy z	TECH.PHONES	true	PARTIAL	"{""family"": ""GALAXY_Z""}"	TECH.GALAXY_Z	family head hint, no microcategory
samsung galaxy tab	TECH.TABLETS_E_READERS	true	PARTIAL	"{""family"": ""GALAXY_TAB""}"	TECH.GALAXY_TAB	family head hint, no microcategory
