query_ru	expected_category	expected_shoe_type	target_gender	age_group	expected_facets	negative_route	notes_ru
мужские кроссовки nike 42	FASH.SHOES	SNEAKERS	MEN	ADULT	brand=Nike;size=42		shoe head + brand + size
женские сапоги зимние кожа	FASH.SHOES	WINTER_BOOTS	WOMEN	ADULT	season=WINTER;material_upper=LEATHER		winter boots
детские ботинки reima 28 размер	FASH.SHOES	KIDS_SHOES	KIDS	KIDS	brand=Reima;size=28		kids shoes
кроссовки adidas samba	FASH.SHOES	SNEAKERS	UNISEX	ADULT	brand=Adidas;model_name_text=Samba		model text stored raw
nike air force 1 белые 39	FASH.SHOES	SNEAKERS	UNISEX	ADULT	brand=Nike;model_name_text=Air Force 1;color=WHITE;size=39		sneaker model text
беговые кроссовки asics 44	FASH.SHOES	RUNNING_SHOES	UNISEX	ADULT	brand=Asics;sport_purpose=RUNNING;size=44		running
спортивная обувь для зала puma	FASH.SHOES	SPORT_SHOES	UNISEX	ADULT	brand=Puma;sport_purpose=GYM		sport shoes
бутсы футбольные adidas 37	FASH.SHOES	FOOTBALL_BOOTS	UNISEX	TEEN	sport_purpose=FOOTBALL;size=37		football boots
треккинговые ботинки salomon gore tex	FASH.SHOES	HIKING_SHOES	UNISEX	ADULT	brand=Salomon;waterproof_level=MEMBRANE		hiking membrane
походная обувь merrell waterproof	FASH.SHOES	HIKING_SHOES	UNISEX	ADULT	brand=Merrell;waterproof_level=WATERPROOF		hiking waterproof
резиновые сапоги детские 25	FASH.SHOES	RUBBER_BOOTS	KIDS	KIDS	material_upper=RUBBER;size=25		rubber boots kids
дождевые сапоги женские	FASH.SHOES	RUBBER_BOOTS	WOMEN	ADULT	season=RAIN;waterproof_level=FULL_RUBBER		rain boots
ботильоны женские черные замша	FASH.SHOES	ANKLE_BOOTS	WOMEN	ADULT	color=BLACK;material_upper=SUEDE		ankle boots
ботинки челси кожа коричневые	FASH.SHOES	ANKLE_BOOTS	UNISEX	ADULT	material_upper=LEATHER;color=BROWN		chelsea
мужские классические туфли ecco	FASH.SHOES	SHOES	MEN	ADULT	brand=Ecco		classic shoes
лоферы женские бежевые 38	FASH.SHOES	LOAFERS	WOMEN	ADULT	color=BEIGE;size=38		loafers
мокасины мужские кожа	FASH.SHOES	MOCCASINS	MEN	ADULT	material_upper=LEATHER		moccasins
оксфорды мужские черные	FASH.SHOES	OXFORDS	MEN	ADULT	color=BLACK		oxfords
дерби коричневые натуральная кожа	FASH.SHOES	DERBY	MEN	ADULT	color=BROWN;material_upper=LEATHER		derby
босоножки женские на ремешке	FASH.SHOES	SANDALS	WOMEN	ADULT	closure_type=BUCKLE		sandals
сандалии детские на липучке	FASH.SHOES	SANDALS	KIDS	KIDS	closure_type=VELCRO		kids sandals
шлепанцы adidas	FASH.SHOES	SLIDES	UNISEX	ADULT	brand=Adidas		slides
сланцы пляжные 43	FASH.SHOES	SLIDES	UNISEX	ADULT	size=43		flip flops
тапочки домашние мягкие	FASH.SHOES	SLIPPERS	UNISEX	ADULT	season=INDOOR		slippers
балетки женские черные	FASH.SHOES	BALLET_FLATS	WOMEN	ADULT	color=BLACK		ballet flats
туфли на каблуке 7 см	FASH.SHOES	HEELS	WOMEN	ADULT	heel_height_cm=7		heels
туфли лодочки красные 38	FASH.SHOES	PUMPS	WOMEN	ADULT	color=RED;size=38		pumps
обувь на танкетке летняя	FASH.SHOES	WEDGES	WOMEN	ADULT	heel_type=WEDGE;season=SUMMER		wedges
пинетки для малыша 0-6 месяцев	FASH.SHOES	BABY_SHOES	KIDS	BABY	age_label=0-6 месяцев		baby shoes
детские кроссовки geox 31	FASH.SHOES	SNEAKERS	KIDS	KIDS	brand=Geox;size=31		kids sneakers exact type
кроссовки для мальчика 34	FASH.SHOES	SNEAKERS	BOYS	KIDS	size=34		boys
сапоги для девочки зимние 29	FASH.SHOES	WINTER_BOOTS	GIRLS	KIDS	season=WINTER;size=29		girls winter
кроксы crocs размер 40	FASH.SHOES	CLOGS	UNISEX	ADULT	brand=Crocs;size=40		clogs/crocs
эспадрильи zara 37	FASH.SHOES	ESPADRILLES	WOMEN	ADULT	brand=Zara;size=37		espadrilles
обувь ecco новая 41	FASH.SHOES	OTHER_SHOES	UNISEX	ADULT	brand=Ecco;condition=NEW;size=41		generic shoes fallback
женские ботинки на молнии	FASH.SHOES	BOOTS	WOMEN	ADULT	closure_type=ZIPPER		boots zipper
кожаные сапоги до колена	FASH.SHOES	BOOTS	WOMEN	ADULT	material_upper=LEATHER;shaft_height=KNEE_HIGH		shaft
ботфорты черные	FASH.SHOES	BOOTS	WOMEN	ADULT	shaft_height=OVER_KNEE;color=BLACK		over knee
зимние дутики reima 32	FASH.SHOES	WINTER_BOOTS	KIDS	KIDS	brand=Reima;season=WINTER;size=32		dutiki
валенки детские 27	FASH.SHOES	WINTER_BOOTS	KIDS	KIDS	insulation=FELT;size=27		felt boots
угги женские 39	FASH.SHOES	WINTER_BOOTS	WOMEN	ADULT	size=39		ugg generic
кеды converse chuck taylor	FASH.SHOES	SNEAKERS	UNISEX	ADULT	brand=Converse;model_name_text=Chuck Taylor		keds/sneakers
vans old skool 42	FASH.SHOES	SNEAKERS	UNISEX	ADULT	brand=Vans;model_name_text=Old Skool;size=42		brand model text
new balance 574 кроссовки	FASH.SHOES	SNEAKERS	UNISEX	ADULT	brand=New Balance;model_name_text=574		model as text
skechers slip on женские	FASH.SHOES	SNEAKERS	WOMEN	ADULT	brand=Skechers;closure_type=SLIP_ON		slip on
туфли шпилька 10 см	FASH.SHOES	HEELS	WOMEN	ADULT	heel_type=STILETTO;heel_height_cm=10		stiletto
сабо медицинские белые	FASH.SHOES	CLOGS	UNISEX	ADULT	color=WHITE		clogs
аквашузы для моря	FASH.SHOES	SPORT_SHOES	UNISEX	ADULT	sport_purpose=WATER_SPORT		water sport
ортопедические сандалии детские	FASH.SHOES	SANDALS	KIDS	KIDS	orthopedic_feature=ORTHOPEDIC_INSOLE		orthopedic text
