attribute_code	value_code	label_ru	aliases_ru	priority	status	notes
audio_type	HEADPHONES	Наушники	Полноразмерные/накладные наушники	100	head	
audio_type	EARBUDS	Внутриканальные / TWS-наушники	TWS, вкладыши, внутриканальные	101	head	
audio_type	HEADSET	Гарнитура	Наушники с микрофоном для звонков/работы	102	head	
audio_type	SPEAKER	Колонка / акустика	Портативная или домашняя колонка	103	head	
audio_type	SMART_SPEAKER	Умная колонка	Колонка с голосовым ассистентом/смарт-функциями	104	head	
audio_type	SOUNDBAR	Саундбар	Акустическая панель для ТВ/домашнего кинотеатра	105	head	
audio_type	MICROPHONE	Микрофон	USB/XLR/петличный/студийный микрофон	106	head	
audio_type	AUDIO_INTERFACE	Аудиоинтерфейс	USB/Thunderbolt интерфейс для записи	107	head	
audio_type	DAC_AMP	DAC/AMP	ЦАП, усилитель, комбайн для наушников	108	head	
audio_type	TURNTABLE	Проигрыватель винила	Виниловый проигрыватель / turntable	109	head	
audio_type	RECEIVER_AMPLIFIER	Ресивер / усилитель	AV-ресивер, стереоусилитель	110	head	
audio_type	STUDIO_MONITOR	Студийный монитор	Активная/пассивная студийная акустика	111	head	
audio_type	MP3_PLAYER	MP3 / Hi-Fi плеер	Портативный аудиоплеер	112	head	
audio_type	RADIO	Радио	Радиоприёмник, интернет-радио	113	head	
audio_type	AUDIO_ACCESSORY	Аудиоаксессуар	Амбушюры, кабели, стойки, поп-фильтры, кейсы	114	head	
form_factor	OVER_EAR	Полноразмерные	over ear / around ear / circumaural	100	head	
form_factor	ON_EAR	Накладные	on ear / supra-aural	101	head	
form_factor	IN_EAR	Внутриканальные	in-ear / IEM / внутриканальные	102	head	
form_factor	EARBUD	Вкладыши	earbuds / вкладыши	103	head	
form_factor	TRUE_WIRELESS	TWS	true wireless / полностью беспроводные	104	head	
form_factor	OPEN_EAR	Открытое ухо	open-ear / bone conduction / air conduction	105	head	
form_factor	NECKBAND	Шейный обод	neckband	106	head	
form_factor	HEADSET_BOOM	Гарнитура с микрофоном	boom mic headset	107	head	
form_factor	PORTABLE_SPEAKER	Портативная колонка	bluetooth speaker / portable speaker	108	head	
form_factor	BOOKSHELF_SPEAKER	Полочная акустика	bookshelf	109	head	
form_factor	FLOORSTANDING_SPEAKER	Напольная акустика	floorstanding	110	head	
form_factor	PARTY_SPEAKER	Party speaker	partybox / party speaker	111	head	
form_factor	SOUNDBAR	Саундбар	sound bar / soundbar	112	head	
form_factor	SUBWOOFER	Сабвуфер	sub	113	head	
form_factor	LAVALIER_MIC	Петличный микрофон	lavalier / lav mic	114	head	
form_factor	USB_MIC	USB-микрофон	usb mic	115	head	
form_factor	XLR_MIC	XLR-микрофон	xlr mic	116	head	
form_factor	HANDHELD_MIC	Ручной микрофон	handheld	117	head	
form_factor	SHOTGUN_MIC	Направленный микрофон	shotgun mic	118	head	
form_factor	DESKTOP_INTERFACE	Настольный интерфейс	desktop audio interface	119	head	
form_factor	RACK_INTERFACE	Rack-интерфейс	rack audio interface	120	head	
form_factor	PORTABLE_DAC	Портативный DAC/AMP	dongle dac / portable dac	121	head	
form_factor	DESKTOP_DAC	Настольный DAC/AMP	desktop dac	122	head	
form_factor	TURNTABLE	Проигрыватель винила	turntable	123	head	
form_factor	AV_RECEIVER	AV-ресивер	av receiver	124	head	
form_factor	STEREO_AMPLIFIER	Стереоусилитель	stereo amp	125	head	
form_factor	STUDIO_MONITOR	Студийный монитор	studio monitor	126	head	
form_factor	PORTABLE_PLAYER	Портативный плеер	dap / mp3 player	127	head	
form_factor	RADIO_DESKTOP	Настольное радио	radio	128	head	
connection_type	WIRED	Проводное	wired	100	head	
connection_type	WIRELESS	Беспроводное	wireless	101	head	
connection_type	TRUE_WIRELESS	TWS	tws	102	head	
connection_type	BLUETOOTH	Bluetooth	bt	103	head	
connection_type	WIFI	Wi‑Fi	wi-fi	104	head	
connection_type	USB	USB	usb	105	head	
connection_type	XLR	XLR	xlr	106	head	
connection_type	RCA	RCA	rca	107	head	
connection_type	OPTICAL	Optical/Toslink	toslink / spdif	108	head	
connection_type	HDMI_ARC	HDMI ARC/eARC	hdmi arc / earc	109	head	
connection_type	THREE_POINT_FIVE_MM	3.5 мм	3.5 / mini jack	110	head	
connection_type	SIX_POINT_THREE_MM	6.35 мм	6.3 / jack	111	head	
connection_type	TWO_POINT_FOUR_GHZ	2.4 GHz	2.4g / wireless dongle	112	head	
connection_type	RF	RF	радиоканал	113	head	
connection_type	HYBRID	Гибридное	wired + wireless	114	head	
acoustic_design	CLOSED_BACK	Закрытые	closed	100	head	
acoustic_design	OPEN_BACK	Открытые	open back	101	head	
acoustic_design	SEMI_OPEN	Полуоткрытые	semi-open	102	head	
acoustic_design	SEALED	Герметичные	sealed	103	head	
acoustic_design	VENTED	С фазоинвертором	ported / bass reflex	104	head	
acoustic_design	PASSIVE	Пассивные	passive	105	head	
acoustic_design	ACTIVE	Активные	active	106	head	
acoustic_design	PORTABLE	Портативные	portable	107	head	
noise_control	ANC	Активное шумоподавление	active noise cancellation / шумодав	100	head	
noise_control	ADAPTIVE_ANC	Адаптивное ANC	adaptive nc	101	head	
noise_control	TRANSPARENCY	Режим прозрачности	ambient / aware	102	head	
noise_control	PASSIVE_ISOLATION	Пассивная изоляция	passive noise isolation	103	head	
noise_control	ENC_CALLS	Шумоподавление микрофона	ENC / call noise reduction	104	head	
noise_control	NONE	Нет	без шумоподавления	105	head	
mic_type	BUILT_IN	Встроенный	built-in	100	head	
mic_type	BOOM_MIC	Штанговый микрофон	boom	101	head	
mic_type	DETACHABLE_BOOM	Съёмный штанговый	detachable boom	102	head	
mic_type	USB_MIC	USB	usb	103	head	
mic_type	XLR_MIC	XLR	xlr	104	head	
mic_type	LAVALIER	Петличный	lavalier	105	head	
mic_type	SHOTGUN	Направленный	shotgun	106	head	
mic_type	HANDHELD	Ручной	handheld	107	head	
mic_type	BOUNDARY	Граничный	boundary	108	head	
mic_type	WIRELESS_SYSTEM	Радиосистема	wireless mic system	109	head	
recording_pattern	CARDIOID	Кардиоидная	cardioid	100	head	
recording_pattern	SUPERCARDIOID	Суперкардиоидная	supercardioid	101	head	
recording_pattern	HYPERCARDIOID	Гиперкардиоидная	hypercardioid	102	head	
recording_pattern	OMNI	Всенаправленная	omni	103	head	
recording_pattern	FIGURE_8	Восьмёрка	figure-8	104	head	
recording_pattern	MULTI_PATTERN	Несколько диаграмм	multi-pattern	105	head	
recording_pattern	SHOTGUN	Пушка	shotgun	106	head	
connector_type	USB_C	USB‑C	type-c	100	head	
connector_type	USB_A	USB‑A	usb a	101	head	
connector_type	USB_B	USB‑B	usb b	102	head	
connector_type	MICRO_USB	Micro‑USB	micro usb	103	head	
connector_type	LIGHTNING	Lightning	лайтнинг	104	head	
connector_type	THREE_POINT_FIVE_MM	3.5 мм	mini jack	105	head	
connector_type	SIX_POINT_THREE_MM	6.35 мм	jack	106	head	
connector_type	XLR	XLR	xlr	107	head	
connector_type	MINI_XLR	Mini XLR	mini xlr	108	head	
connector_type	RCA	RCA	tulip	109	head	
connector_type	OPTICAL_TOSLINK	Optical/Toslink	spdif	110	head	
connector_type	COAXIAL_SPDIF	Coaxial SPDIF	coax	111	head	
connector_type	HDMI_ARC	HDMI ARC/eARC	hdmi	112	head	
connector_type	TRS	TRS	balanced trs	113	head	
connector_type	TRRS	TRRS	headset jack	114	head	
connector_type	SPEAKER_TERMINALS	Акустические клеммы	binding posts	115	head	
connector_type	MIDI_DIN	MIDI DIN	midi	116	head	
wireless_standard	BLUETOOTH	Bluetooth	bt	100	head	
wireless_standard	BLUETOOTH_LE_AUDIO	Bluetooth LE Audio	le audio	101	head	
wireless_standard	WIFI	Wi‑Fi	wifi	102	head	
wireless_standard	AIRPLAY	AirPlay	apple airplay	103	head	
wireless_standard	CHROMECAST	Chromecast	google cast	104	head	
wireless_standard	DLNA	DLNA	dlna	105	head	
wireless_standard	SPOTIFY_CONNECT	Spotify Connect	spotify	106	head	
wireless_standard	RF_2_4GHZ	2.4 GHz RF	2.4g	107	head	
wireless_standard	UHF	UHF	uhf	108	head	
wireless_standard	INFRARED	IR	infrared	109	head	
codec_support	SBC	SBC		100	head	
codec_support	AAC	AAC		101	head	
codec_support	APT_X	aptX	aptx	102	head	
codec_support	APT_X_HD	aptX HD	aptx hd	103	head	
codec_support	APT_X_ADAPTIVE	aptX Adaptive		104	head	
codec_support	APT_X_LOSSLESS	aptX Lossless		105	head	
codec_support	LDAC	LDAC		106	head	
codec_support	LHDC	LHDC		107	head	
codec_support	LC3	LC3		108	head	
codec_support	ALAC	ALAC		109	head	
codec_support	LOSSLESS_USB	Lossless over USB	lossless audio	110	head	
codec_support	HI_RES_AUDIO	Hi‑Res Audio	hi-res	111	head	
water_resistance	NONE	Нет		100	head	
water_resistance	IPX2	IPX2		101	head	
water_resistance	IPX4	IPX4	sweat resistant	102	head	
water_resistance	IPX5	IPX5		103	head	
water_resistance	IPX7	IPX7	waterproof	104	head	
water_resistance	IP67	IP67		105	head	
water_resistance	IP68	IP68		106	head	
driver_type	DYNAMIC	Динамический	dynamic	100	head	
driver_type	PLANAR_MAGNETIC	Планарный	planar	101	head	
driver_type	BALANCED_ARMATURE	Арматурный	ba	102	head	
driver_type	HYBRID	Гибридный	hybrid	103	head	
driver_type	ELECTROSTATIC	Электростатический	electrostatic	104	head	
driver_type	RIBBON	Ленточный	ribbon	105	head	
driver_type	BONE_CONDUCTION	Костная проводимость	bone conduction	106	head	
driver_type	AIR_CONDUCTION	Воздушная проводимость	air conduction	107	head	
channel_config	MONO	Mono	1.0	100	head	
channel_config	STEREO	Stereo	2.0	101	head	
channel_config	TWO_ONE	2.1	2.1	102	head	
channel_config	THREE_ONE	3.1	3.1	103	head	
channel_config	FIVE_ONE	5.1	5.1	104	head	
channel_config	FIVE_ONE_TWO	5.1.2	atmos	105	head	
channel_config	SEVEN_ONE	7.1	7.1	106	head	
channel_config	SEVEN_ONE_FOUR	7.1.4	atmos	107	head	
channel_config	NINE_TWO	9.2		108	head	
channel_config	DOLBY_ATMOS	Dolby Atmos	atmos	109	head	
speaker_type	PORTABLE_BLUETOOTH	Портативная Bluetooth-колонка	portable bluetooth speaker	100	head	
speaker_type	SMART_SPEAKER	Умная колонка	smart speaker	101	head	
speaker_type	BOOKSHELF	Полочная	bookshelf	102	head	
speaker_type	FLOORSTANDING	Напольная	floorstanding	103	head	
speaker_type	CENTER_CHANNEL	Центральный канал	center	104	head	
speaker_type	SURROUND	Surround	rear speaker	105	head	
speaker_type	SUBWOOFER	Сабвуфер	subwoofer	106	head	
speaker_type	PARTY	Party speaker	partybox	107	head	
speaker_type	STUDIO_MONITOR	Студийный монитор	nearfield monitor	108	head	
speaker_type	OUTDOOR	Уличная акустика	outdoor	109	head	
smart_assistant	SIRI	Siri	Apple	100	head	
smart_assistant	ALEXA	Alexa	Amazon	101	head	
smart_assistant	GOOGLE_ASSISTANT	Google Assistant	Google	102	head	
smart_assistant	ALICE	Алиса	Yandex Alice	103	head	
smart_assistant	MARUSYA	Маруся	VK	104	head	
smart_assistant	NONE	Нет		105	head	
streaming_protocols	AIRPLAY	AirPlay		100	head	
streaming_protocols	AIRPLAY_2	AirPlay 2		101	head	
streaming_protocols	CHROMECAST	Chromecast		102	head	
streaming_protocols	SPOTIFY_CONNECT	Spotify Connect		103	head	
streaming_protocols	TIDAL_CONNECT	Tidal Connect		104	head	
