attribute_code	label_ru	label_en	data_type	role	required_policy	allowed_values_source	unit_policy	usage_scope	ui_visibility	validation_notes
spec_profile_status	Статус профиля характеристик	Spec profile status	enum	T0_CORE	required_for_inherited_public_category_specs	values.tech_specs_common.v1_0.tsv#spec_profile_status	NONE	TECH.*	shown_as_status	Required for inherited public category specs; not offer-accepting by this shared pack.
spec_confidence	Уверенность характеристик	Spec confidence	decimal_0_1	T0_CORE	required_for_inherited_public_category_specs		NONE	TECH.*	shown_as_status	Aggregate confidence across normalized specs.
spec_evidence_level	Уровень доказательств характеристик	Spec evidence level	enum	T0_CORE	required_for_inherited_public_category_specs	values.tech_specs_common.v1_0.tsv#spec_evidence_level	NONE	TECH.*	hidden_by_default	Photo-only guesses cannot set verified device-specific specs.
spec_source	Источник характеристик	Spec source	enum	T0_CORE	required_for_inherited_public_category_specs	values.tech_specs_common.v1_0.tsv#spec_source	NONE	TECH.*	hidden_by_default	OCR/barcode/source attributes/manual confirmation can raise evidence level.
primary_spec_summary	Краткая сводка характеристик	Primary spec summary	string	T0_CORE	required_for_inherited_public_category_specs		NONE	TECH.*	shown_when_available	Human-readable compact specs summary.
spec_completeness_score	Полнота характеристик	Spec completeness score	integer_0_100	T0_CORE	required_for_inherited_public_category_specs		NONE	TECH.*	hidden_by_default	Computed by runtime from category coverage matrix.
measurement_system	Система измерения	Measurement system	enum	T0_CORE	required_for_inherited_public_category_specs	values.tech_specs_common.v1_0.tsv#measurement_system	NONE	TECH.*	hidden_by_default	Metric default, imperial display may be locale-specific.
unit_normalization_status	Статус нормализации единиц	Unit normalization status	enum	T0_CORE	required_for_inherited_public_category_specs	values.tech_specs_common.v1_0.tsv#unit_normalization_status	NONE	TECH.*	hidden_by_default	Blocks publish when numeric unit parsing conflicts are critical.
storage_capacity	Объём накопителя	Storage capacity	capacity	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#storage_capacity	normalize_to_GB	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.STORAGE_MEMORY|TECH.GAMING|TECH.CAMERAS_DRONES	facet_when_relevant	Do not infer from model name unless identity evidence supports variant.
ram_capacity	Оперативная память	RAM capacity	capacity	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#ram_capacity	normalize_to_GB	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.PC_COMPONENTS|TECH.GAMING	facet_when_relevant	RAM can be variant-specific; evidence required.
screen_size	Диагональ экрана	Screen size	decimal	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#screen_size	normalize_to_inches	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.WEARABLES|TECH.GAMING|TECH.CAR_ELECTRONICS_GPS	facet_when_relevant	May be visible from title; photo alone not enough for exact value.
