query	expected_categoryCode	expected_type	polarity	notes
наушники	TECH.AUDIO	HEADPHONES	positive	type_alias
полноразмерные наушники	TECH.AUDIO	HEADPHONES	positive	type_alias
накладные наушники	TECH.AUDIO	HEADPHONES	positive	type_alias
headphones	TECH.AUDIO	HEADPHONES	positive	type_alias
wireless headphones	TECH.AUDIO	HEADPHONES	positive	type_alias
блютуз наушники	TECH.AUDIO	HEADPHONES	positive	type_alias
беспроводные наушники	TECH.AUDIO	EARBUDS	positive	type_alias
tws	TECH.AUDIO	EARBUDS	positive	type_alias
tws наушники	TECH.AUDIO	EARBUDS	positive	type_alias
earbuds	TECH.AUDIO	EARBUDS	positive	type_alias
вкладыши	TECH.AUDIO	EARBUDS	positive	type_alias
внутриканальные наушники	TECH.AUDIO	EARBUDS	positive	type_alias
гарнитура	TECH.AUDIO	HEADSET	positive	type_alias
компьютерная гарнитура	TECH.AUDIO	HEADSET	positive	type_alias
headset	TECH.AUDIO	HEADSET	positive	type_alias
наушники с микрофоном	TECH.AUDIO	HEADSET	positive	type_alias
офисная гарнитура	TECH.AUDIO	HEADSET	positive	type_alias
колонка	TECH.AUDIO	SPEAKER	positive	type_alias
bluetooth колонка	TECH.AUDIO	SPEAKER	positive	type_alias
портативная колонка	TECH.AUDIO	SPEAKER	positive	type_alias
акустика	TECH.AUDIO	SPEAKER	positive	type_alias
speaker	TECH.AUDIO	SPEAKER	positive	type_alias
portable speaker	TECH.AUDIO	SPEAKER	positive	type_alias
умная колонка	TECH.AUDIO	SMART_SPEAKER	positive	type_alias
smart speaker	TECH.AUDIO	SMART_SPEAKER	positive	type_alias
колонка алиса	TECH.AUDIO	SMART_SPEAKER	positive	type_alias
homepod	TECH.AUDIO	SMART_SPEAKER	positive	type_alias
echo dot	TECH.AUDIO	SMART_SPEAKER	positive	type_alias
яндекс станция	TECH.AUDIO	SMART_SPEAKER	positive	type_alias
саундбар	TECH.AUDIO	SOUNDBAR	positive	type_alias
soundbar	TECH.AUDIO	SOUNDBAR	positive	type_alias
sound bar	TECH.AUDIO	SOUNDBAR	positive	type_alias
акустическая панель	TECH.AUDIO	SOUNDBAR	positive	type_alias
саунд бар	TECH.AUDIO	SOUNDBAR	positive	type_alias
микрофон	TECH.AUDIO	MICROPHONE	positive	type_alias
usb микрофон	TECH.AUDIO	MICROPHONE	positive	type_alias
xlr микрофон	TECH.AUDIO	MICROPHONE	positive	type_alias
петличка	TECH.AUDIO	MICROPHONE	positive	type_alias
петличный микрофон	TECH.AUDIO	MICROPHONE	positive	type_alias
microphone	TECH.AUDIO	MICROPHONE	positive	type_alias
аудиоинтерфейс	TECH.AUDIO	AUDIO_INTERFACE	positive	type_alias
звуковая карта для записи	TECH.AUDIO	AUDIO_INTERFACE	positive	type_alias
audio interface	TECH.AUDIO	AUDIO_INTERFACE	positive	type_alias
внешняя звуковая карта	TECH.AUDIO	AUDIO_INTERFACE	positive	type_alias
интерфейс для микрофона	TECH.AUDIO	AUDIO_INTERFACE	positive	type_alias
цап	TECH.AUDIO	DAC_AMP	positive	type_alias
усилитель для наушников	TECH.AUDIO	DAC_AMP	positive	type_alias
dac amp	TECH.AUDIO	DAC_AMP	positive	type_alias
dac/amp	TECH.AUDIO	DAC_AMP	positive	type_alias
внешний цап	TECH.AUDIO	DAC_AMP	positive	type_alias
портативный цап	TECH.AUDIO	DAC_AMP	positive	type_alias
виниловый проигрыватель	TECH.AUDIO	TURNTABLE	positive	type_alias
проигрыватель винила	TECH.AUDIO	TURNTABLE	positive	type_alias
turntable	TECH.AUDIO	TURNTABLE	positive	type_alias
вертушка	TECH.AUDIO	TURNTABLE	positive	type_alias
vinyl player	TECH.AUDIO	TURNTABLE	positive	type_alias
ресивер	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	type_alias
av ресивер	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	type_alias
усилитель	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	type_alias
stereo amplifier	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	type_alias
receiver	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	type_alias
amplifier	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	type_alias
студийный монитор	TECH.AUDIO	STUDIO_MONITOR	positive	type_alias
мониторы студийные	TECH.AUDIO	STUDIO_MONITOR	positive	type_alias
studio monitor	TECH.AUDIO	STUDIO_MONITOR	positive	type_alias
активные мониторы	TECH.AUDIO	STUDIO_MONITOR	positive	type_alias
mp3 плеер	TECH.AUDIO	MP3_PLAYER	positive	type_alias
hi-fi плеер	TECH.AUDIO	MP3_PLAYER	positive	type_alias
dap	TECH.AUDIO	MP3_PLAYER	positive	type_alias
аудиоплеер	TECH.AUDIO	MP3_PLAYER	positive	type_alias
плеер для музыки	TECH.AUDIO	MP3_PLAYER	positive	type_alias
радио	TECH.AUDIO	RADIO	positive	type_alias
радиоприемник	TECH.AUDIO	RADIO	positive	type_alias
internet radio	TECH.AUDIO	RADIO	positive	type_alias
fm radio	TECH.AUDIO	RADIO	positive	type_alias
аудио аксессуар	TECH.AUDIO	AUDIO_ACCESSORY	positive	type_alias
амбушюры	TECH.AUDIO	AUDIO_ACCESSORY	positive	type_alias
поп фильтр	TECH.AUDIO	AUDIO_ACCESSORY	positive	type_alias
микрофонная стойка	TECH.AUDIO	AUDIO_ACCESSORY	positive	type_alias
кабель для наушников	TECH.AUDIO	AUDIO_ACCESSORY	positive	type_alias
audio accessory	TECH.AUDIO	AUDIO_ACCESSORY	positive	type_alias
airpods pro 2 usb c	TECH.AUDIO	EARBUDS	positive	model
аирподс про 2	TECH.AUDIO	EARBUDS	positive	ru model
sony wh 1000xm6	TECH.AUDIO	HEADPHONES	positive	model
bose quietcomfort ultra headphones	TECH.AUDIO	HEADPHONES	positive	model
jbl flip 7 колонка	TECH.AUDIO	SPEAKER	positive	model
galaxy buds3 pro	TECH.AUDIO	EARBUDS	positive	model
shure sm7b микрофон	TECH.AUDIO	MICROPHONE	positive	model
focusrite scarlett 2i2	TECH.AUDIO	AUDIO_INTERFACE	positive	model
yamaha hs5 пара	TECH.AUDIO	STUDIO_MONITOR	positive	model
denon avr x2800h	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	model
fiio k11 цап	TECH.AUDIO	DAC_AMP	positive	model
audio technica lp60x	TECH.AUDIO	TURNTABLE	positive	model
беспроводная колонка jbl charge	TECH.AUDIO	SPEAKER	positive	speaker
саундбар samsung q990d	TECH.AUDIO	SOUNDBAR	positive	soundbar
микрофон для подкаста usb	TECH.AUDIO	MICROPHONE	positive	mic
аудиоинтерфейс для xlr микрофона	TECH.AUDIO	AUDIO_INTERFACE	positive	interface
поп фильтр для микрофона	TECH.AUDIO	AUDIO_ACCESSORY	positive	accessory
амбушюры sony wh1000xm5	TECH.AUDIO	AUDIO_ACCESSORY	positive	audio accessory
кабель xlr 3 метра	TECH.AUDIO	AUDIO_ACCESSORY	positive	audio cable
стойка для микрофона настольная	TECH.AUDIO	AUDIO_ACCESSORY	positive	mic stand
игровая гарнитура ps5	TECH.GAMING	GAMING_HEADSET	negative	gaming explicit
apple watch	TECH.WEARABLES	SMARTWATCH	negative	wearable
ремешок apple watch	TECH.WEARABLES	WATCH_BAND	negative	wearable accessory
кабель usb c зарядка	TECH.POWER_CHARGING_CABLES	USB_CABLE	negative	generic cable
автомагнитола 2 din	TECH.CAR_ELECTRONICS_GPS	CAR_HEAD_UNIT	negative	car audio
колонки автомобильные	TECH.CAR_ELECTRONICS_GPS	CAR_SPEAKER	negative	car audio
монитор 27 дюймов	TECH.MONITORS_DISPLAYS	COMPUTER_MONITOR	negative	display
телевизор samsung 55	TECH.TV_HOME_THEATER	TV	negative	tv
webcam logitech c920	TECH.COMPUTER_ACCESSORIES	WEBCAM	negative	computer accessory
переходник hdmi usb c	TECH.POWER_CHARGING_CABLES	ADAPTER	negative	generic adapter
airpods 4	TECH.AUDIO	EARBUDS	positive	head_model
apple airpods 4	TECH.AUDIO	EARBUDS	positive	brand_model
airpods 4 active noise cancellation	TECH.AUDIO	EARBUDS	positive	head_model
apple airpods 4 active noise cancellation	TECH.AUDIO	EARBUDS	positive	brand_model
airpods pro 2 usb-c	TECH.AUDIO	EARBUDS	positive	head_model
apple airpods pro 2 usb-c	TECH.AUDIO	EARBUDS	positive	brand_model
airpods pro 3	TECH.AUDIO	EARBUDS	positive	head_model
apple airpods pro 3	TECH.AUDIO	EARBUDS	positive	brand_model
airpods max 2	TECH.AUDIO	HEADPHONES	positive	head_model
apple airpods max 2	TECH.AUDIO	HEADPHONES	positive	brand_model
homepod mini	TECH.AUDIO	SMART_SPEAKER	positive	head_model
apple homepod mini	TECH.AUDIO	SMART_SPEAKER	positive	brand_model
wh-1000xm6	TECH.AUDIO	HEADPHONES	positive	head_model
sony wh-1000xm6	TECH.AUDIO	HEADPHONES	positive	brand_model
wh-1000xm5	TECH.AUDIO	HEADPHONES	positive	head_model
sony wh-1000xm5	TECH.AUDIO	HEADPHONES	positive	brand_model
wf-1000xm5	TECH.AUDIO	EARBUDS	positive	head_model
sony wf-1000xm5	TECH.AUDIO	EARBUDS	positive	brand_model
wh-ch720n	TECH.AUDIO	HEADPHONES	positive	head_model
sony wh-ch720n	TECH.AUDIO	HEADPHONES	positive	brand_model
srs-xb100	TECH.AUDIO	SPEAKER	positive	head_model
sony srs-xb100	TECH.AUDIO	SPEAKER	positive	brand_model
ht-s2000	TECH.AUDIO	SOUNDBAR	positive	head_model
sony ht-s2000	TECH.AUDIO	SOUNDBAR	positive	brand_model
quietcomfort ultra headphones 2nd gen	TECH.AUDIO	HEADPHONES	positive	head_model
bose quietcomfort ultra headphones 2nd gen	TECH.AUDIO	HEADPHONES	positive	brand_model
