alias	locale	target_type	target_code	weight	route_intent	status	notes
женская одежда	ru-RU	category	FASH.WOMEN	1.0	route_to_FASH.WOMEN	active	
женские вещи	ru-RU	category	FASH.WOMEN	1.0	route_to_FASH.WOMEN	active	
одежда для женщин	ru-RU	category	FASH.WOMEN	1.0	route_to_FASH.WOMEN	active	
одежда для девушек	ru-RU	category	FASH.WOMEN	1.0	route_to_FASH.WOMEN	active	
женский гардероб	ru-RU	category	FASH.WOMEN	1.0	route_to_FASH.WOMEN	active	
womenswear	ru-RU	category	FASH.WOMEN	1.0	route_to_FASH.WOMEN	active	
women clothes	ru-RU	category	FASH.WOMEN	1.0	route_to_FASH.WOMEN	active	
платье	ru-RU	apparel_type	DRESS	0.9	route_candidate_FASH.WOMEN	active	generic label; may need context
платье женское	ru-RU	apparel_type	DRESS	0.98	route_to_FASH.WOMEN	active	
женское платье	ru-RU	apparel_type	DRESS	0.98	route_to_FASH.WOMEN	active	
платья женские	ru-RU	apparel_type	DRESS	0.98	route_to_FASH.WOMEN	active	
вечернее платье	ru-RU	apparel_type	DRESS	0.98	route_to_FASH.WOMEN	active	
летнее платье	ru-RU	apparel_type	DRESS	0.98	route_to_FASH.WOMEN	active	
платье миди	ru-RU	apparel_type	DRESS	0.98	route_to_FASH.WOMEN	active	
платье макси	ru-RU	apparel_type	DRESS	0.98	route_to_FASH.WOMEN	active	
dress women	ru-RU	apparel_type	DRESS	0.98	route_to_FASH.WOMEN	active	
блузка	ru-RU	apparel_type	BLOUSE	0.9	route_candidate_FASH.WOMEN	active	generic label; may need context
блузка женская	ru-RU	apparel_type	BLOUSE	0.98	route_to_FASH.WOMEN	active	
женская блузка	ru-RU	apparel_type	BLOUSE	0.98	route_to_FASH.WOMEN	active	
блуза женская	ru-RU	apparel_type	BLOUSE	0.98	route_to_FASH.WOMEN	active	
рубашка блузка женская	ru-RU	apparel_type	BLOUSE	0.98	route_to_FASH.WOMEN	active	
blouse women	ru-RU	apparel_type	BLOUSE	0.98	route_to_FASH.WOMEN	active	
топ	ru-RU	apparel_type	TOP	0.9	route_candidate_FASH.WOMEN	active	generic label; may need context
топ женский	ru-RU	apparel_type	TOP	0.98	route_to_FASH.WOMEN	active	
женский топ	ru-RU	apparel_type	TOP	0.98	route_to_FASH.WOMEN	active	
кроп топ	ru-RU	apparel_type	TOP	0.98	route_to_FASH.WOMEN	active	
crop top	ru-RU	apparel_type	TOP	0.98	route_to_FASH.WOMEN	active	
топик женский	ru-RU	apparel_type	TOP	0.98	route_to_FASH.WOMEN	active	
