public_category_code	target_role	primary_compatibility_attrs	secondary_compatibility_attrs	required_when	notes_ru
TECH.PHONES	compatibility_target_or_source	compatible_brand,compatible_family,compatible_model_text,compatible_model,compatible_connector_type,case_size_mm,screen_size_range_in	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.PHONE_ACCESSORIES	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.COMPUTERS	compatibility_target_or_source	compatible_brand,compatible_family,compatible_model_text,physical_interface,form_factor,compatible_os	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.TABLETS_E_READERS	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.MONITORS_DISPLAYS	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.COMPUTER_ACCESSORIES	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.PC_COMPONENTS	compatibility_target_or_source	socket_type,ram_type,storage_interface,form_factor,wattage_max_w	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.STORAGE_MEMORY	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.AUDIO	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.TV_HOME_THEATER	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.WEARABLES	compatibility_target_or_source	compatible_brand,compatible_model_text,case_size_mm,band_width_mm,mount_type,ecosystem	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.CAMERAS_DRONES	compatibility_target_or_source	lens_mount,mount_type,compatible_brand,compatible_model_text	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.GAMING	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.SMART_HOME_SECURITY	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.NETWORKING	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.POWER_CHARGING_CABLES	compatibility_target_or_source	compatible_connector_type,required_connector_type,power_delivery_profile,wattage_max_w,voltage_min_v,voltage_max_v	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.PRINTERS_SCANNERS	compatibility_target_or_source	compatible_brand,compatible_model_text,compatible_model_number,compatible_mpn,compatible_gtin	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
TECH.CAR_ELECTRONICS_GPS	compatibility_target_or_source	compatible_brand,compatible_model_text,compatibility_mode,compatibility_confidence	compatibility_evidence_type,compatibility_warning_flags,not_compatible_with,compatibility_notes	has_accessory_or_part_or_consumable_or_software_relation	Shared matrix; public category defines final type-specific surface.
