computer_accessory_type	brand	family	model_name_text	priority	evidence_note
KEYBOARD	LOGITECH		Logitech MX Keys	100	brand/model commonly used as head retail/resale query
KEYBOARD	APPLE		Apple Magic Keyboard	99	brand/model commonly used as head retail/resale query
KEYBOARD	KEYCHRON		Keychron K2	98	brand/model commonly used as head retail/resale query
KEYBOARD	KEYCHRON		Keychron K3	97	brand/model commonly used as head retail/resale query
KEYBOARD	RAZER		Razer Huntsman	96	brand/model commonly used as head retail/resale query
KEYBOARD	STEELSERIES		SteelSeries Apex	95	brand/model commonly used as head retail/resale query
KEYBOARD	HYPERX		HyperX Alloy	94	brand/model commonly used as head retail/resale query
KEYBOARD	A4TECH		A4Tech Bloody	93	brand/model commonly used as head retail/resale query
MOUSE	LOGITECH		Logitech MX Master 3S	100	brand/model commonly used as head retail/resale query
MOUSE	LOGITECH		Logitech G Pro X Superlight	99	brand/model commonly used as head retail/resale query
MOUSE	RAZER		Razer DeathAdder V3	98	brand/model commonly used as head retail/resale query
MOUSE	RAZER		Razer Viper	97	brand/model commonly used as head retail/resale query
MOUSE	STEELSERIES		SteelSeries Rival	96	brand/model commonly used as head retail/resale query
MOUSE	APPLE		Apple Magic Mouse	95	brand/model commonly used as head retail/resale query
MOUSE	LOGITECH		Logitech Mx Anywhere	94	brand/model commonly used as head retail/resale query
WEBCAM	LOGITECH		Logitech C920	100	brand/model commonly used as head retail/resale query
WEBCAM	LOGITECH		Logitech C922	99	brand/model commonly used as head retail/resale query
WEBCAM	LOGITECH		Logitech Brio	98	brand/model commonly used as head retail/resale query
WEBCAM	RAZER		Razer Kiyo	97	brand/model commonly used as head retail/resale query
WEBCAM	ELGATO		Elgato Facecam	96	brand/model commonly used as head retail/resale query
WEBCAM	MICROSOFT		Microsoft LifeCam	95	brand/model commonly used as head retail/resale query
DOCKING_STATION	CALDIGIT		CalDigit TS4	100	brand/model commonly used as head retail/resale query
DOCKING_STATION	DELL		Dell WD19	99	brand/model commonly used as head retail/resale query
DOCKING_STATION	LENOVO		Lenovo USB-C Dock	98	brand/model commonly used as head retail/resale query
DOCKING_STATION	HP		HP Thunderbolt Dock	97	brand/model commonly used as head retail/resale query
DOCKING_STATION	ANKER		Anker 777 Dock	96	brand/model commonly used as head retail/resale query
DOCKING_STATION	BELKIN		Belkin Thunderbolt Dock	95	brand/model commonly used as head retail/resale query
USB_HUB	UGREEN		UGREEN USB C Hub	100	brand/model commonly used as head retail/resale query
USB_HUB	BASEUS		Baseus USB C Hub	99	brand/model commonly used as head retail/resale query
USB_HUB	ANKER		Anker USB Hub	98	brand/model commonly used as head retail/resale query
USB_HUB	SATECHI		Satechi Type C Hub	97	brand/model commonly used as head retail/resale query
USB_HUB	HYPERDRIVE		HyperDrive Hub	96	brand/model commonly used as head retail/resale query
LAPTOP_STAND	TWELVE		Twelve South Curve	100	brand/model commonly used as head retail/resale query
LAPTOP_STAND	RAIN		Rain Design mStand	99	brand/model commonly used as head retail/resale query
LAPTOP_STAND	MOFT		MOFT laptop stand	98	brand/model commonly used as head retail/resale query
LAPTOP_STAND	BASEUS		Baseus laptop stand	97	brand/model commonly used as head retail/resale query
MONITOR_ARM	ERGOTRON		Ergotron LX	100	brand/model commonly used as head retail/resale query
MONITOR_ARM	NB		NB F80	99	brand/model commonly used as head retail/resale query
MONITOR_ARM	NORTH		North Bayou F80	98	brand/model commonly used as head retail/resale query
MONITOR_ARM	HUANUO		HUANUO monitor arm	97	brand/model commonly used as head retail/resale query
STYLUS_PEN	MICROSOFT		Microsoft Surface Pen	100	brand/model commonly used as head retail/resale query
STYLUS_PEN	WACOM		Wacom Bamboo Ink	99	brand/model commonly used as head retail/resale query
STYLUS_PEN	LENOVO		Lenovo Precision Pen	98	brand/model commonly used as head retail/resale query
STYLUS_PEN	HP		HP Tilt Pen	97	brand/model commonly used as head retail/resale query
MOUSE_PAD	STEELSERIES		QcK	75	brand/model commonly used as head retail/resale query
MOUSE_PAD	RAZER		Gigantus V2	75	brand/model commonly used as head retail/resale query
MOUSE_PAD	LOGITECH		G Powerplay	75	brand/model commonly used as head retail/resale query
MONITOR_ARM	ERGOTRON		LX Desk Monitor Arm	75	brand/model commonly used as head retail/resale query
MONITOR_ARM	NORTH BAYOU		F80	75	brand/model commonly used as head retail/resale query
MONITOR_ARM	HUANUO		Single Monitor Arm	75	brand/model commonly used as head retail/resale query
ADAPTER_DONGLE	APPLE		USB-C Digital AV Multiport Adapter	75	brand/model commonly used as head retail/resale query
ADAPTER_DONGLE	UGREEN		USB-C to HDMI Adapter	75	brand/model commonly used as head retail/resale query
ADAPTER_DONGLE	ANKER		USB-C to HDMI Adapter	75	brand/model commonly used as head retail/resale query
COOLING_PAD	DEEPCOOL		N9	75	brand/model commonly used as head retail/resale query
COOLING_PAD	HAVIT		HV-F2056	75	brand/model commonly used as head retail/resale query
SCREEN_FILTER	3M		Privacy Filter	75	brand/model commonly used as head retail/resale query
COMPUTER_COVER	MOSISO		MacBook Hard Shell	75	brand/model commonly used as head retail/resale query
CLEANING_KIT	WHOOSH		Screen Cleaner	75	brand/model commonly used as head retail/resale query
KEYBOARD_MOUSE_SET	LOGITECH		MK270	75	brand/model commonly used as head retail/resale query
KEYBOARD_MOUSE_SET	LOGITECH		MK850	75	brand/model commonly used as head retail/resale query
KEYBOARD_MOUSE_SET	MICROSOFT		Wireless Desktop 900	75	brand/model commonly used as head retail/resale query
