query	expected_categoryCode	expected_phone_accessory_type	expected_route_decision	notes_ru
чехол iphone 13 прозрачный	TECH.PHONE_ACCESSORIES	CASE	include	positive
чехол на айфон 15 pro max magsafe	TECH.PHONE_ACCESSORIES	CASE	include	positive
силиконовый чехол samsung s24 ultra	TECH.PHONE_ACCESSORIES	CASE	include	positive
книжка redmi note 13	TECH.PHONE_ACCESSORIES	CASE	include	positive
противоударный чехол pixel 8	TECH.PHONE_ACCESSORIES	CASE	include	positive
чехол poco x6 pro	TECH.PHONE_ACCESSORIES	CASE	include	positive
чехол для телефона универсальный	TECH.PHONE_ACCESSORIES	CASE	include	positive
защитное стекло iphone 14 pro	TECH.PHONE_ACCESSORIES	SCREEN_PROTECTOR	include	positive
пленка на samsung a55	TECH.PHONE_ACCESSORIES	SCREEN_PROTECTOR	include	positive
гидрогелевая пленка redmi note 12	TECH.PHONE_ACCESSORIES	SCREEN_PROTECTOR	include	positive
privacy glass iphone 15	TECH.PHONE_ACCESSORIES	SCREEN_PROTECTOR	include	positive
стекло pixel 8a	TECH.PHONE_ACCESSORIES	SCREEN_PROTECTOR	include	positive
защитная пленка для телефона	TECH.PHONE_ACCESSORIES	SCREEN_PROTECTOR	include	positive
защита камеры iphone 15 pro	TECH.PHONE_ACCESSORIES	CAMERA_LENS_PROTECTOR	include	positive
стекло камеры samsung s24 ultra	TECH.PHONE_ACCESSORIES	CAMERA_LENS_PROTECTOR	include	positive
линзы камеры redmi note 13 pro	TECH.PHONE_ACCESSORIES	CAMERA_LENS_PROTECTOR	include	positive
зарядка для телефона usb c 30w	TECH.PHONE_ACCESSORIES	CHARGER	include	positive
блок питания iphone 20w	TECH.PHONE_ACCESSORIES	CHARGER	include	positive
зарядное устройство samsung 25w	TECH.PHONE_ACCESSORIES	CHARGER	include	positive
быстрая зарядка type c для смартфона	TECH.PHONE_ACCESSORIES	CHARGER	include	positive
сетевой адаптер для телефона	TECH.PHONE_ACCESSORIES	CHARGER	include	positive
беспроводная зарядка iphone magsafe	TECH.PHONE_ACCESSORIES	WIRELESS_CHARGER	include	positive
qi2 зарядка для телефона	TECH.PHONE_ACCESSORIES	WIRELESS_CHARGER	include	positive
