alias_id	alias_text	locale	normalized	route_kind	target_id	priority	match_type	negative_tokens	status	notes
AL.FOOD.0001	еда	ru-RU	еда	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0002	продукты	ru-RU	продукты	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0003	еда и продукты	ru-RU	еда и продукты	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0004	продуктовый магазин	ru-RU	продуктовый магазин	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0005	супермаркет	ru-RU	супермаркет	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0006	магазин продуктов	ru-RU	магазин продуктов	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0007	доставка продуктов	ru-RU	доставка продуктов	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0008	продукты рядом	ru-RU	продукты рядом	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0009	продукты недорого	ru-RU	продукты недорого	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0010	покупка продуктов	ru-RU	покупка продуктов	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0011	еда домой	ru-RU	еда домой	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0012	бакалея	ru-RU	бакалея	browse_node	BN.FOOD	40	contains		inactive	dedup -> AL.FOOD.0067 (groceries)
AL.FOOD.0013	продукты б/у?	ru-RU	продукты б/у?	browse_node	BN.FOOD	40	contains		active	L0 entry
AL.FOOD.0014	молоко	ru-RU	молоко	browse_node	BN.FOOD.GROCERIES	70	contains		active	groceries
AL.FOOD.0015	кефир	ru-RU	кефир	browse_node	BN.FOOD.GROCERIES	70	contains		active	groceries
AL.FOOD.0016	йогурт	ru-RU	йогурт	browse_node	BN.FOOD.GROCERIES	70	contains		active	groceries
AL.FOOD.0017	сыр	ru-RU	сыр	browse_node	BN.FOOD.GROCERIES	70	contains		active	groceries
AL.FOOD.0018	творог	ru-RU	творог	browse_node	BN.FOOD.GROCERIES	70	contains		active	groceries
AL.FOOD.0019	сливочное масло	ru-RU	сливочное масло	browse_node	BN.FOOD.GROCERIES	70	contains		active	groceries
AL.FOOD.0020	яйца	ru-RU	яйца	browse_node	BN.FOOD.GROCERIES	70	contains		active	groceries
